household_id,lat,lon,district,season,household_size,uses_piped_water,uses_groundwater_well,uses_tanker,aquifer_id,water_insecurity_index,aquifer_cluster,water_table_depth_m,depletion_rate_m_per_year,tds_mg_per_L,nitrate_mg_per_L
HH00050,27.649126,85.428236,Lalitpur,dry,7,1,1,0,AQ0432,47.8,1,14.15,2.26,568.53,9.6
HH00051,27.621856,85.432728,Lalitpur,wet,4,1,1,0,AQ0266,13.77,0,8.9,0.59,150.0,4.92
HH00052,27.758877,85.371404,Bhaktapur,dry,6,1,1,1,AQ0343,29.55,1,30.63,1.02,550.52,4.44
HH00053,27.619794,85.289645,Lalitpur,dry,5,0,1,0,AQ0209,45.05,1,19.77,2.09,585.62,4.89
HH00054,27.654276,85.432349,Kathmandu,wet,4,1,1,0,AQ0170,27.14,2,4.6,1.32,290.53,3.69
HH00055,27.771022,85.275794,Bhaktapur,wet,6,0,1,1,AQ0483,25.31,0,16.56,0.92,185.5,2.6
HH00056,27.669294,85.346305,Lalitpur,dry,5,0,1,0,AQ0473,28.92,2,8.33,0.9,323.4,2.69
HH00057,27.794609,85.22593,Kathmandu,wet,4,1,1,0,AQ0194,36.81,0,7.39,1.91,396.27,4.25
HH00058,27.795947,85.439708,Lalitpur,wet,3,0,1,0,AQ0347,22.78,0,24.34,0.37,745.19,5.54
HH00059,27.653655,85.2366,Kathmandu,wet,7,1,0,0,AQ0430,53.5,0,4.77,2.07,338.48,9.49
HH00060,27.608196,85.258473,Bhaktapur,dry,3,1,1,1,AQ0393,14.71,0,6.84,0.48,363.0,5.89
HH00061,27.741013,85.345115,Kathmandu,wet,7,1,1,0,AQ0123,26.21,2,16.22,0.87,363.86,8.66
HH00062,27.690197,85.398664,Lalitpur,wet,4,1,1,0,AQ0177,35.61,2,5.99,2.41,368.95,3.09
HH00063,27.620151,85.361031,Kathmandu,wet,5,0,1,0,AQ0004,28.48,2,2.69,1.08,609.6,6.56
HH00064,27.741505,85.260355,Kathmandu,wet,7,1,0,0,AQ0188,65.31,1,25.69,2.26,988.14,9.85
HH00065,27.606235,85.200245,Bhaktapur,wet,4,1,1,0,AQ0346,37.4,2,17.1,2.14,608.11,9.18
HH00066,27.774039,85.396859,Bhaktapur,dry,5,0,1,0,AQ0352,20.93,2,1.34,1.4,371.71,3.61
HH00067,27.627731,85.456154,Kathmandu,wet,6,1,0,0,AQ0029,40.15,0,9.68,1.85,417.4,7.01
HH00068,27.625462,85.410577,Kathmandu,dry,6,0,1,0,AQ0086,40.34,0,9.55,1.76,443.53,4.13
HH00069,27.635134,85.319654,Kathmandu,wet,5,0,1,0,AQ0047,37.78,2,1.01,1.58,794.8,7.63
HH00070,27.792053,85.434979,Lalitpur,dry,5,1,0,0,AQ0077,13.61,2,6.49,0.31,361.35,4.69
HH00071,27.738634,85.30656,Lalitpur,dry,6,0,1,0,AQ0343,42.2,1,30.63,1.02,550.52,4.44
HH00072,27.760274,85.336483,Lalitpur,wet,6,1,1,1,AQ0191,34.03,2,21.02,1.4,824.25,3.33
HH00073,27.679527,85.324054,Lalitpur,dry,6,1,1,1,AQ0031,16.9,2,8.4,0.98,553.54,7.93
HH00074,27.667263,85.316382,Bhaktapur,wet,4,1,1,1,AQ0307,24.99,2,28.15,1.34,580.09,4.88
HH00075,27.646897,85.40155,Kathmandu,dry,8,0,1,0,AQ0169,46.83,0,2.57,0.93,454.95,6.0
HH00076,27.69613,85.33696,Kathmandu,wet,4,1,1,1,AQ0036,4.24,0,4.98,0.92,539.29,1.65
HH00077,27.710366,85.282346,Lalitpur,dry,3,0,0,1,AQ0245,28.41,1,4.39,1.22,913.67,7.74
HH00078,27.726355,85.267121,Bhaktapur,dry,4,0,1,0,AQ0424,33.12,0,8.12,1.33,900.75,3.29
HH00079,27.651424,85.209814,Lalitpur,dry,3,0,1,0,AQ0351,45.76,0,11.61,2.04,219.25,8.33
HH00080,27.789731,85.351631,Lalitpur,dry,3,0,1,0,AQ0188,64.12,1,25.69,2.26,988.14,9.85
HH00081,27.633952,85.25979,Lalitpur,wet,4,1,1,1,AQ0015,45.58,0,21.61,2.06,597.5,3.47
HH00082,27.793131,85.238515,Bhaktapur,dry,3,0,1,1,AQ0334,42.79,1,25.54,1.51,635.13,6.93
HH00083,27.602971,85.369996,Kathmandu,dry,5,1,1,0,AQ0483,38.77,0,16.56,0.92,185.5,2.6
HH00084,27.696225,85.377114,Kathmandu,dry,3,0,1,1,AQ0216,27.82,2,3.26,1.43,337.08,6.76
HH00085,27.666674,85.39556,Bhaktapur,wet,4,0,0,1,AQ0158,18.63,0,13.74,0.74,351.89,1.73
HH00086,27.689825,85.33093,Bhaktapur,dry,3,1,0,0,AQ0414,15.6,2,24.5,0.21,788.2,3.4
HH00087,27.714133,85.432454,Kathmandu,wet,3,0,1,0,AQ0155,21.15,2,2.7,1.47,346.1,1.14
HH00088,27.687118,85.443449,Kathmandu,dry,4,1,0,0,AQ0241,42.49,0,9.06,1.71,321.36,5.64
HH00089,27.682969,85.409916,Kathmandu,wet,5,0,1,0,AQ0296,37.94,2,17.15,1.62,502.04,2.67
HH00090,27.746545,85.365254,Kathmandu,wet,8,1,0,0,AQ0462,35.07,1,26.0,0.92,729.74,9.72
HH00091,27.737175,85.278967,Bhaktapur,dry,7,0,0,1,AQ0045,33.1,2,8.67,0.89,597.37,6.95
HH00092,27.766654,85.455566,Kathmandu,wet,7,1,1,1,AQ0495,34.98,1,31.58,1.71,950.51,4.16
HH00093,27.649992,85.271275,Bhaktapur,dry,4,0,0,1,AQ0459,48.53,2,6.83,1.81,565.81,6.41
HH00094,27.721906,85.252691,Kathmandu,dry,4,1,1,0,AQ0175,37.47,1,38.07,1.09,532.12,3.51
HH00095,27.717039,85.31496,Lalitpur,wet,3,1,0,0,AQ0492,17.21,0,6.86,0.88,156.25,2.88
HH00096,27.673948,85.214779,Kathmandu,wet,6,1,1,1,AQ0346,42.57,2,17.1,2.14,608.11,9.18
HH00097,27.697212,85.454409,Lalitpur,dry,3,1,1,0,AQ0056,5.6,2,16.35,0.41,499.46,2.2
HH00098,27.662756,85.352993,Lalitpur,wet,5,1,0,0,AQ0054,31.46,0,5.15,1.19,457.23,3.88
HH00099,27.628369,85.344808,Lalitpur,dry,4,1,1,0,AQ0341,25.84,0,14.23,0.99,774.14,5.2
HH00100,27.64276,85.370507,Kathmandu,dry,4,1,0,0,AQ0265,54.17,0,13.33,1.97,632.16,5.84
HH00101,27.621103,85.329226,Kathmandu,wet,8,0,1,1,AQ0374,42.53,2,8.31,2.0,684.26,5.99
HH00102,27.736614,85.208337,Kathmandu,wet,6,0,0,1,AQ0239,23.86,2,19.34,0.85,649.06,2.12
HH00103,27.732145,85.359201,Kathmandu,wet,6,1,1,0,AQ0321,24.9,2,10.07,1.01,652.59,4.47
HH00104,27.790121,85.386205,Lalitpur,dry,5,0,1,1,AQ0108,31.38,2,3.0,2.19,508.66,2.78
HH00105,27.745936,85.308355,Lalitpur,wet,7,0,1,0,AQ0198,45.83,2,17.36,1.98,574.46,6.65
HH00106,27.610409,85.396897,Lalitpur,wet,5,0,1,1,AQ0385,40.43,2,22.38,2.03,504.71,3.26
HH00107,27.776849,85.25902,Lalitpur,dry,7,1,0,1,AQ0214,69.82,1,38.87,2.43,745.28,5.46
HH00108,27.772535,85.257532,Kathmandu,dry,4,0,1,0,AQ0499,36.29,0,14.19,1.24,270.5,4.12
HH00109,27.688664,85.241968,Kathmandu,wet,5,0,0,1,AQ0246,20.23,2,15.9,0.38,215.76,3.21
HH00110,27.717173,85.296719,Kathmandu,wet,5,1,1,0,AQ0397,33.9,2,12.2,2.01,150.0,3.06
HH00111,27.795216,85.420223,Bhaktapur,dry,4,1,1,0,AQ0038,40.92,1,23.9,1.33,429.05,8.87
HH00112,27.706461,85.415257,Lalitpur,dry,7,0,1,1,AQ0497,27.81,2,3.48,0.92,366.65,7.27
HH00113,27.781064,85.299534,Kathmandu,dry,8,1,0,1,AQ0173,47.59,0,7.3,1.49,598.94,5.83
HH00114,27.616608,85.353171,Kathmandu,dry,5,1,0,1,AQ0105,35.8,0,7.03,2.28,610.44,3.04
HH00115,27.63821,85.387412,Bhaktapur,dry,4,1,0,0,AQ0040,28.11,2,7.5,1.18,603.16,4.14
HH00116,27.688151,85.262714,Lalitpur,dry,5,1,1,0,AQ0479,25.5,2,0.7,1.22,480.9,1.99
HH00117,27.716951,85.243717,Lalitpur,dry,7,0,1,0,AQ0399,60.76,2,14.43,2.0,732.5,6.37
HH00118,27.763246,85.452745,Kathmandu,dry,5,0,0,1,AQ0434,49.45,1,16.47,1.97,693.9,5.15
HH00119,27.797652,85.360565,Kathmandu,dry,3,1,1,0,AQ0130,40.46,1,39.13,1.25,650.36,7.49
HH00120,27.67777,85.455168,Bhaktapur,wet,5,0,1,0,AQ0181,36.28,2,19.27,1.99,784.24,4.4
HH00121,27.609483,85.287817,Lalitpur,wet,3,1,1,0,AQ0479,11.94,2,0.7,1.22,480.9,1.99
HH00122,27.760234,85.382788,Kathmandu,dry,6,1,1,0,AQ0410,45.31,2,9.48,2.32,504.3,2.81
HH00123,27.720876,85.257877,Bhaktapur,wet,4,1,1,1,AQ0194,21.48,0,7.39,1.91,396.27,4.25
HH00124,27.639709,85.267912,Lalitpur,dry,5,1,1,1,AQ0331,36.76,0,3.93,2.22,167.62,3.17
HH00125,27.698966,85.333095,Kathmandu,wet,6,1,1,0,AQ0289,11.14,2,4.73,0.64,150.0,3.32
HH00126,27.748462,85.283101,Kathmandu,dry,3,0,1,1,AQ0466,44.49,1,48.09,1.16,603.94,3.29
HH00127,27.754082,85.243582,Kathmandu,wet,4,1,0,0,AQ0341,31.2,0,14.23,0.99,774.14,5.2
HH00128,27.699924,85.268349,Kathmandu,dry,4,0,1,0,AQ0059,37.53,0,1.01,2.13,237.36,7.7
HH00129,27.661043,85.209295,Lalitpur,dry,4,0,0,1,AQ0351,44.16,0,11.61,2.04,219.25,8.33
HH00130,27.794749,85.38315,Kathmandu,wet,4,1,0,0,AQ0026,41.18,2,5.39,2.08,150.0,4.19
HH00131,27.732673,85.32795,Bhaktapur,dry,8,0,0,1,AQ0478,72.21,1,34.79,2.69,304.26,8.82
HH00132,27.681648,85.224503,Bhaktapur,wet,6,1,0,0,AQ0103,24.94,0,6.26,0.87,449.1,4.98
HH00133,27.656093,85.24464,Kathmandu,wet,7,1,1,1,AQ0021,22.72,0,7.28,1.03,482.62,6.58
HH00134,27.746221,85.226659,Kathmandu,wet,7,1,1,0,AQ0433,53.41,1,38.87,2.06,987.63,6.29
HH00135,27.648437,85.359274,Bhaktapur,wet,4,1,1,0,AQ0080,47.99,1,31.58,2.13,431.1,4.34
HH00136,27.634342,85.224495,Lalitpur,dry,4,1,1,0,AQ0327,11.33,2,12.73,0.39,150.0,2.69
HH00137,27.705967,85.396113,Lalitpur,wet,4,0,1,0,AQ0470,20.88,2,11.15,0.87,499.25,2.17
HH00138,27.657997,85.205333,Kathmandu,dry,6,1,1,0,AQ0199,28.48,2,9.35,0.89,417.23,5.64
HH00139,27.725781,85.264838,Kathmandu,wet,5,0,1,1,AQ0322,4.5,2,10.34,0.99,445.04,3.87
HH00140,27.623588,85.431573,Lalitpur,dry,4,0,1,0,AQ0037,26.57,2,7.9,0.85,392.61,4.38
HH00141,27.730988,85.386818,Bhaktapur,wet,4,1,0,0,AQ0014,40.18,2,20.79,1.63,485.63,3.51
HH00142,27.656659,85.218972,Kathmandu,dry,5,1,0,1,AQ0456,29.93,2,8.71,1.67,294.26,2.28
HH00143,27.600049,85.413493,Bhaktapur,dry,5,0,1,0,AQ0221,32.81,2,9.9,1.11,245.25,3.09
HH00144,27.625387,85.328189,Kathmandu,dry,7,1,1,0,AQ0364,32.84,2,18.3,1.47,263.41,2.36
HH00145,27.786723,85.420164,Bhaktapur,wet,4,0,1,1,AQ0391,21.8,2,19.31,0.86,744.0,8.43
HH00146,27.773471,85.356192,Lalitpur,dry,7,0,1,0,AQ0166,53.54,0,4.49,2.14,716.26,9.28
HH00147,27.646722,85.377277,Kathmandu,wet,4,1,1,1,AQ0173,21.02,0,7.3,1.49,598.94,5.83
HH00148,27.755674,85.45831,Lalitpur,wet,6,1,1,0,AQ0150,78.85,1,59.98,2.87,1283.85,9.3
HH00149,27.721714,85.260407,Kathmandu,wet,7,1,1,1,AQ0172,12.3,0,0.69,0.91,150.0,7.3
HH00150,27.794181,85.362226,Kathmandu,wet,7,1,0,0,AQ0081,29.83,0,13.11,1.58,160.76,4.36
HH00151,27.674721,85.319684,Kathmandu,wet,3,1,0,0,AQ0336,30.68,2,20.98,0.81,416.52,5.74
HH00152,27.736292,85.210258,Kathmandu,dry,4,1,0,0,AQ0225,42.17,2,24.86,1.01,589.13,8.99
HH00153,27.612707,85.203762,Kathmandu,wet,5,0,1,1,AQ0359,24.87,0,4.15,1.18,356.79,6.3
HH00154,27.679249,85.230999,Lalitpur,wet,4,0,1,1,AQ0035,22.91,2,17.02,1.29,471.45,1.63
HH00155,27.792764,85.368764,Lalitpur,wet,5,0,1,0,AQ0358,35.2,0,34.84,1.22,589.87,3.2
HH00156,27.707796,85.347462,Kathmandu,dry,7,1,1,0,AQ0188,54.34,1,25.69,2.26,988.14,9.85
HH00157,27.657576,85.343892,Bhaktapur,dry,3,0,1,0,AQ0224,29.98,2,6.27,1.83,621.48,2.13
HH00158,27.624054,85.208283,Lalitpur,wet,5,1,0,0,AQ0131,52.24,1,46.01,1.95,552.63,3.95
HH00159,27.740706,85.322019,Bhaktapur,dry,4,1,0,0,AQ0374,52.76,2,8.31,2.0,684.26,5.99
HH00160,27.728971,85.440402,Lalitpur,dry,7,0,1,0,AQ0451,30.93,2,2.55,0.7,290.32,5.75
HH00161,27.674788,85.303374,Kathmandu,wet,8,0,1,0,AQ0456,38.71,2,8.71,1.67,294.26,2.28
HH00162,27.790188,85.36248,Kathmandu,dry,5,0,1,0,AQ0494,41.36,0,3.18,2.07,570.97,6.36
HH00163,27.604441,85.402753,Lalitpur,dry,3,1,0,1,AQ0351,44.33,0,11.61,2.04,219.25,8.33
HH00164,27.660745,85.403821,Kathmandu,dry,6,1,0,0,AQ0311,64.66,1,42.75,2.14,869.43,2.63
HH00165,27.784214,85.335013,Kathmandu,wet,5,1,1,0,AQ0009,52.38,1,51.45,1.43,817.6,3.73
HH00166,27.664187,85.423068,Kathmandu,wet,4,1,0,0,AQ0069,44.36,1,47.51,1.28,679.67,1.73
HH00167,27.650451,85.301758,Kathmandu,wet,7,1,1,0,AQ0028,25.36,0,19.46,0.64,852.77,6.41
HH00168,27.706844,85.43106,Kathmandu,dry,8,1,1,0,AQ0399,47.88,2,14.43,2.0,732.5,6.37
HH00169,27.76476,85.262459,Kathmandu,dry,5,0,1,0,AQ0369,40.07,2,17.14,1.08,580.25,7.33
HH00170,27.620629,85.272856,Kathmandu,wet,5,1,1,1,AQ0475,15.2,2,8.24,1.27,534.86,3.64
HH00171,27.788604,85.213811,Lalitpur,wet,4,1,1,0,AQ0234,33.11,0,32.09,0.53,819.15,7.18
HH00172,27.759015,85.406851,Lalitpur,dry,5,0,1,1,AQ0031,33.41,2,8.4,0.98,553.54,7.93
HH00173,27.63625,85.308434,Kathmandu,dry,4,1,1,0,AQ0315,23.03,0,7.82,1.04,310.94,5.12
HH00174,27.742402,85.25957,Kathmandu,dry,4,1,1,0,AQ0232,73.39,1,58.21,3.01,788.87,9.68
HH00175,27.676992,85.260265,Kathmandu,dry,3,1,1,0,AQ0338,47.9,2,4.73,2.22,520.08,4.95
HH00176,27.680459,85.434364,Kathmandu,dry,4,0,0,1,AQ0486,28.27,2,23.4,1.16,465.13,3.07
HH00177,27.756658,85.416818,Kathmandu,wet,4,1,0,1,AQ0497,18.11,2,3.48,0.92,366.65,7.27
HH00178,27.792557,85.343918,Kathmandu,wet,5,1,1,1,AQ0054,17.19,0,5.15,1.19,457.23,3.88
HH00179,27.625331,85.360189,Lalitpur,wet,5,1,1,0,AQ0452,30.66,2,21.2,1.55,505.49,4.44
HH00180,27.684126,85.323325,Lalitpur,dry,5,1,1,0,AQ0469,28.75,0,15.53,0.84,421.65,6.26
HH00181,27.696188,85.301833,Kathmandu,wet,4,1,1,1,AQ0175,24.54,1,38.07,1.09,532.12,3.51
HH00182,27.675262,85.438024,Kathmandu,wet,4,1,1,0,AQ0298,21.82,0,4.38,1.43,428.1,7.33
HH00183,27.672638,85.232659,Lalitpur,wet,6,0,1,0,AQ0279,33.16,2,17.11,0.93,150.0,9.62
HH00184,27.610454,85.308796,Bhaktapur,wet,5,0,1,1,AQ0365,20.7,2,1.24,1.13,286.37,3.14
HH00185,27.737108,85.289586,Lalitpur,dry,8,0,1,0,AQ0086,37.32,0,9.55,1.76,443.53,4.13
HH00186,27.687243,85.329519,Lalitpur,wet,4,0,1,0,AQ0065,29.93,2,4.69,1.65,150.0,3.15
HH00187,27.638959,85.318984,Kathmandu,wet,5,0,1,0,AQ0089,57.07,0,11.06,2.41,683.01,7.25
HH00188,27.763207,85.334911,Kathmandu,dry,3,1,1,0,AQ0054,20.32,0,5.15,1.19,457.23,3.88
HH00189,27.760512,85.236379,Bhaktapur,wet,5,0,1,0,AQ0118,65.89,1,51.33,2.71,865.87,4.13
HH00190,27.697278,85.333417,Kathmandu,dry,7,1,1,1,AQ0361,46.28,1,49.62,1.14,501.39,4.23
HH00191,27.65969,85.263029,Bhaktapur,dry,7,1,1,0,AQ0476,41.38,2,9.06,1.89,150.0,7.94
HH00192,27.727619,85.247926,Lalitpur,dry,8,1,1,0,AQ0229,37.51,0,1.8,1.8,150.0,4.56
HH00193,27.65763,85.216857,Lalitpur,dry,4,1,0,1,AQ0267,56.21,1,37.38,1.99,602.44,6.53
HH00194,27.647202,85.39829,Kathmandu,wet,5,1,1,0,AQ0319,65.64,1,49.96,2.29,1099.12,3.91
HH00195,27.746103,85.311135,Lalitpur,dry,5,0,1,0,AQ0022,57.58,2,4.8,2.12,601.74,8.56
HH00196,27.608065,85.362927,Kathmandu,wet,5,1,1,1,AQ0438,29.92,0,1.77,1.55,262.4,5.92
HH00197,27.618954,85.389174,Kathmandu,wet,4,1,1,0,AQ0247,49.09,2,17.26,1.97,489.29,7.86
HH00198,27.601358,85.376622,Kathmandu,wet,7,1,0,1,AQ0473,14.58,2,8.33,0.9,323.4,2.69
HH00199,27.630589,85.32233,Bhaktapur,wet,7,1,1,0,AQ0373,21.78,2,12.78,1.3,245.95,3.3
HH00200,27.613798,85.300854,Lalitpur,dry,4,1,0,0,AQ0469,36.2,0,15.53,0.84,421.65,6.26
HH00201,27.79916,85.29775,Kathmandu,wet,4,0,1,0,AQ0420,63.92,1,49.1,1.95,726.12,8.93
HH00202,27.657762,85.366413,Kathmandu,dry,3,1,1,0,AQ0314,25.88,0,16.12,1.38,768.3,9.9
HH00203,27.629854,85.328647,Lalitpur,wet,5,0,1,0,AQ0020,27.27,2,2.27,1.43,600.75,1.25
HH00204,27.648199,85.420774,Lalitpur,wet,4,1,0,1,AQ0400,67.44,1,51.3,2.38,951.39,2.72
HH00205,27.787225,85.427423,Lalitpur,dry,7,1,0,1,AQ0476,55.37,2,9.06,1.89,150.0,7.94
HH00206,27.704032,85.244346,Lalitpur,wet,5,1,1,0,AQ0184,33.51,2,2.52,2.05,206.12,8.53
HH00207,27.672964,85.235421,Kathmandu,dry,5,0,1,0,AQ0349,47.06,0,7.2,1.66,573.77,9.49
HH00208,27.774678,85.363904,Lalitpur,wet,5,1,1,1,AQ0050,53.33,1,35.55,2.73,661.26,7.98
HH00209,27.678998,85.278319,Kathmandu,wet,3,0,0,1,AQ0090,22.87,2,15.0,0.59,150.0,5.53
HH00210,27.667002,85.204828,Bhaktapur,wet,7,1,0,0,AQ0104,33.7,2,8.41,1.84,401.07,3.13
HH00211,27.641457,85.431047,Lalitpur,dry,5,1,0,0,AQ0194,34.5,0,7.39,1.91,396.27,4.25
HH00212,27.675559,85.258994,Kathmandu,wet,8,1,1,1,AQ0383,73.67,1,57.65,2.65,824.04,8.98
HH00213,27.663337,85.441613,Kathmandu,wet,5,0,1,0,AQ0369,36.2,2,17.14,1.08,580.25,7.33
HH00214,27.735461,85.386533,Bhaktapur,wet,6,1,0,0,AQ0074,40.12,0,9.9,1.43,383.14,6.75
HH00215,27.657917,85.39829,Kathmandu,dry,3,1,1,0,AQ0269,27.61,0,5.78,0.97,406.55,8.41
HH00216,27.71544,85.25238,Kathmandu,dry,5,1,1,0,AQ0015,45.69,0,21.61,2.06,597.5,3.47
HH00217,27.613178,85.260891,Lalitpur,dry,6,0,1,0,AQ0329,62.71,1,51.09,1.76,884.48,7.44
HH00218,27.638258,85.33553,Kathmandu,wet,6,1,1,1,AQ0283,11.51,2,4.61,0.91,171.37,2.78
HH00219,27.681481,85.244746,Lalitpur,dry,6,1,0,0,AQ0392,61.54,1,33.75,1.95,777.41,8.54
HH00220,27.78739,85.279412,Kathmandu,dry,4,1,1,1,AQ0198,40.92,2,17.36,1.98,574.46,6.65
HH00221,27.67545,85.28358,Lalitpur,dry,8,0,1,1,AQ0484,32.96,0,16.66,0.99,150.0,5.53
HH00222,27.732815,85.241504,Kathmandu,dry,8,0,1,0,AQ0434,49.75,1,16.47,1.97,693.9,5.15
HH00223,27.651017,85.253348,Kathmandu,dry,3,1,1,1,AQ0344,19.93,2,26.83,0.49,708.99,6.63
HH00224,27.625407,85.405023,Bhaktapur,wet,7,1,1,0,AQ0195,19.65,2,9.94,0.73,488.19,2.42
HH00225,27.611707,85.243471,Lalitpur,dry,4,0,1,0,AQ0410,45.69,2,9.48,2.32,504.3,2.81
