aquifer_id,lat,lon,district,well_type,season,land_use,well_depth_m,water_table_depth_m,aquifer_thickness_m,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day,tds_mg_per_L,nitrate_mg_per_L,fluoride_mg_per_L,pH,depletion_rate_m_per_year,years_depleting,aquifer_cluster,cluster_name
AQ0024,27.67,85.42,Bhaktapur,shallow_tube,wet,urban,38.59,4.32,42.17,856.16,20.3,515.85,4.8,0.79,7.99,2.39,4,0,Moderate Stress
AQ0025,27.69,85.42,Bhaktapur,deep_tube,wet,peri-urban,106.79,13.38,35.29,959.7,27.2,396.02,3.98,0.71,6.74,1.16,14,0,Moderate Stress
AQ0026,27.76,85.32,Kathmandu,shallow_tube,wet,urban,42.4,5.39,42.1,626.92,14.89,150.0,4.19,0.16,7.02,2.08,3,2,Moderate Stress
AQ0027,27.64,85.31,Bhaktapur,shallow_tube,dry,urban,94.89,24.38,22.86,577.23,25.25,1046.86,2.21,0.47,8.0,1.17,9,1,Critical Depletion Zone
AQ0028,27.7,85.27,Bhaktapur,shallow_tube,dry,agriculture,67.04,19.46,12.03,367.31,30.52,852.77,6.41,0.44,7.99,0.64,5,0,Moderate Stress
AQ0029,27.72,85.21,Kathmandu,dug,wet,urban,7.7,9.68,38.21,745.0,19.5,417.4,7.01,0.57,7.57,1.85,13,0,Moderate Stress
AQ0030,27.61,85.42,Bhaktapur,deep_tube,dry,agriculture,175.87,28.63,21.22,145.27,6.85,465.8,5.48,0.85,7.92,0.97,14,2,Moderate Stress
AQ0031,27.72,85.41,Kathmandu,shallow_tube,wet,urban,26.31,8.4,35.21,341.2,9.69,553.54,7.93,0.53,6.38,0.98,7,2,Moderate Stress
AQ0032,27.63,85.46,Lalitpur,deep_tube,dry,peri-urban,150.2,48.7,17.18,127.52,7.42,704.38,4.38,0.49,7.93,1.45,12,1,Critical Depletion Zone
AQ0033,27.61,85.46,Kathmandu,deep_tube,wet,urban,190.11,22.27,8.66,77.74,8.98,693.84,3.65,0.05,6.84,2.31,14,1,Critical Depletion Zone
AQ0034,27.79,85.34,Kathmandu,shallow_tube,dry,urban,17.33,8.89,49.67,541.73,10.91,527.17,4.82,0.07,6.56,1.26,6,2,Moderate Stress
AQ0035,27.79,85.4,Kathmandu,deep_tube,dry,peri-urban,133.34,17.02,12.03,227.94,18.95,471.45,1.63,0.18,6.68,1.29,10,2,Moderate Stress
AQ0036,27.76,85.45,Lalitpur,shallow_tube,wet,peri-urban,33.42,4.98,49.48,990.16,20.01,539.29,1.65,0.04,7.04,0.92,5,0,Moderate Stress
AQ0037,27.66,85.42,Kathmandu,shallow_tube,wet,peri-urban,47.75,7.9,48.98,724.39,14.79,392.61,4.38,0.67,6.7,0.85,7,2,Moderate Stress
AQ0038,27.62,85.26,Lalitpur,deep_tube,wet,urban,217.64,23.9,40.72,851.03,20.9,429.05,8.87,0.65,6.84,1.33,11,1,Critical Depletion Zone
AQ0039,27.74,85.32,Kathmandu,shallow_tube,wet,peri-urban,14.21,17.5,34.67,126.13,3.64,647.53,5.81,0.13,6.47,1.0,6,2,Moderate Stress
AQ0040,27.69,85.23,Kathmandu,deep_tube,wet,peri-urban,162.24,7.5,31.0,119.0,3.84,603.16,4.14,0.75,6.79,1.18,10,2,Moderate Stress
AQ0041,27.62,85.45,Lalitpur,deep_tube,dry,urban,121.52,15.79,43.97,288.29,6.56,1188.3,3.47,0.15,7.34,1.5,2,1,Critical Depletion Zone
AQ0042,27.7,85.36,Lalitpur,shallow_tube,dry,peri-urban,97.3,20.61,18.02,319.96,17.75,181.38,1.53,0.28,7.08,1.06,13,2,Moderate Stress
AQ0043,27.61,85.26,Kathmandu,deep_tube,dry,peri-urban,113.6,12.23,26.05,206.26,7.92,370.85,5.06,0.23,6.89,1.14,13,2,Moderate Stress
AQ0044,27.78,85.37,Lalitpur,shallow_tube,wet,urban,45.13,9.88,32.87,333.97,10.16,150.0,6.63,0.34,7.69,2.01,13,2,Moderate Stress
AQ0045,27.65,85.36,Bhaktapur,dug,dry,urban,8.17,8.67,23.5,327.72,13.94,597.37,6.95,0.24,7.99,0.89,3,2,Moderate Stress
AQ0046,27.73,85.29,Lalitpur,deep_tube,dry,urban,184.55,12.68,24.24,660.46,27.25,417.12,8.25,0.45,7.71,2.26,2,0,Moderate Stress
AQ0047,27.66,85.23,Kathmandu,dug,wet,urban,5.96,1.01,19.86,28.77,1.45,794.8,7.63,0.37,6.86,1.58,12,2,Moderate Stress
AQ0048,27.7,85.37,Kathmandu,deep_tube,dry,urban,141.58,31.13,30.39,668.49,22.0,556.42,8.68,0.89,7.69,1.59,3,1,Critical Depletion Zone
AQ0049,27.71,85.34,Bhaktapur,shallow_tube,dry,urban,44.58,8.96,43.28,979.2,22.63,151.72,2.45,0.06,6.5,1.62,1,0,Moderate Stress
AQ0050,27.64,85.4,Kathmandu,deep_tube,wet,urban,131.71,35.55,14.07,377.37,26.82,661.26,7.98,0.14,6.46,2.73,8,1,Critical Depletion Zone
AQ0051,27.79,85.34,Bhaktapur,dug,wet,urban,4.44,8.08,47.05,1466.02,31.16,150.0,8.81,0.06,6.89,2.07,6,0,Moderate Stress
AQ0052,27.76,85.42,Lalitpur,deep_tube,wet,urban,157.96,11.68,36.01,59.46,1.65,667.02,4.29,0.57,7.82,0.96,13,2,Moderate Stress
AQ0053,27.79,85.34,Bhaktapur,dug,wet,peri-urban,4.88,5.89,42.05,251.12,5.97,150.0,4.2,0.06,6.69,0.87,2,2,Moderate Stress
AQ0054,27.78,85.35,Lalitpur,dug,dry,agriculture,5.01,5.15,30.03,890.43,29.65,457.23,3.88,0.75,6.33,1.19,8,0,Moderate Stress
AQ0055,27.72,85.43,Bhaktapur,shallow_tube,dry,urban,68.42,5.31,40.08,634.26,15.83,150.0,9.66,0.47,6.46,2.11,6,0,Moderate Stress
AQ0056,27.78,85.3,Kathmandu,shallow_tube,dry,agriculture,97.11,16.35,5.73,110.31,19.26,499.46,2.2,0.48,7.92,0.41,7,2,Moderate Stress
AQ0057,27.62,85.23,Lalitpur,deep_tube,wet,urban,172.44,19.32,41.83,938.51,22.44,921.91,6.64,0.51,7.47,1.65,11,1,Critical Depletion Zone
AQ0058,27.64,85.21,Kathmandu,deep_tube,wet,urban,109.24,31.32,6.81,156.25,22.96,785.32,3.33,0.16,6.71,1.64,1,1,Critical Depletion Zone
AQ0059,27.61,85.4,Kathmandu,dug,dry,urban,3.53,1.01,45.05,1402.12,31.13,237.36,7.7,0.19,7.31,2.13,7,0,Moderate Stress
AQ0060,27.67,85.36,Lalitpur,dug,dry,urban,9.66,4.7,49.64,1649.71,33.23,440.8,3.41,0.29,7.26,2.11,3,0,Moderate Stress
AQ0061,27.68,85.38,Bhaktapur,shallow_tube,wet,peri-urban,35.35,9.05,18.23,442.79,24.29,294.09,2.18,0.54,7.51,0.57,11,2,Moderate Stress
AQ0062,27.65,85.26,Bhaktapur,shallow_tube,dry,peri-urban,16.47,20.91,14.46,148.79,10.29,503.67,3.47,0.2,6.67,1.41,12,2,Moderate Stress
AQ0063,27.77,85.24,Lalitpur,deep_tube,dry,urban,171.89,7.19,39.44,1161.36,29.45,198.54,9.32,0.11,7.93,1.81,8,0,Moderate Stress
AQ0064,27.67,85.2,Kathmandu,shallow_tube,wet,urban,65.38,11.63,16.39,42.46,2.59,634.79,3.69,0.87,6.82,1.45,6,2,Moderate Stress
AQ0065,27.66,85.29,Kathmandu,dug,wet,urban,7.54,4.69,43.95,372.33,8.47,150.0,3.15,0.03,7.59,1.65,4,2,Moderate Stress
AQ0066,27.71,85.35,Lalitpur,deep_tube,dry,urban,132.09,44.6,9.63,288.99,30.02,720.03,8.07,0.72,6.23,2.36,11,1,Critical Depletion Zone
AQ0067,27.63,85.3,Kathmandu,deep_tube,wet,urban,101.81,36.16,10.67,99.04,9.28,663.95,6.0,0.71,6.95,2.13,8,1,Critical Depletion Zone
AQ0068,27.76,85.31,Kathmandu,shallow_tube,wet,urban,96.78,17.35,49.06,399.09,8.13,700.12,9.29,0.27,6.9,1.1,9,2,Moderate Stress
AQ0069,27.61,85.44,Kathmandu,deep_tube,wet,peri-urban,130.11,47.51,35.32,193.08,5.47,679.67,1.73,0.13,7.29,1.28,10,1,Critical Depletion Zone
AQ0070,27.8,85.29,Kathmandu,deep_tube,wet,agriculture,181.12,52.28,43.11,1240.62,28.78,641.72,5.88,0.14,6.35,0.74,2,1,Critical Depletion Zone
AQ0071,27.75,85.33,Kathmandu,deep_tube,dry,urban,184.8,21.58,19.59,336.41,17.17,418.77,3.86,0.63,7.78,1.02,6,2,Moderate Stress
AQ0072,27.64,85.4,Kathmandu,shallow_tube,dry,agriculture,64.12,14.37,35.44,808.84,22.82,583.48,2.94,0.58,6.64,0.97,5,0,Moderate Stress
AQ0073,27.6,85.3,Kathmandu,deep_tube,wet,urban,137.55,51.05,31.74,277.09,8.73,894.65,7.47,0.71,7.55,3.15,5,1,Critical Depletion Zone
AQ0074,27.76,85.36,Kathmandu,dug,dry,urban,4.9,9.9,32.14,819.94,25.51,383.14,6.75,0.84,7.81,1.43,10,0,Moderate Stress
AQ0075,27.74,85.42,Bhaktapur,shallow_tube,dry,urban,62.99,22.46,35.71,913.33,25.57,528.42,8.04,0.63,7.32,1.03,11,0,Moderate Stress
AQ0076,27.75,85.45,Kathmandu,shallow_tube,dry,urban,87.68,10.54,30.89,343.12,11.11,644.67,4.48,0.15,7.68,1.68,3,2,Moderate Stress
AQ0077,27.75,85.24,Kathmandu,shallow_tube,wet,agriculture,95.1,6.49,24.31,347.08,14.28,361.35,4.69,0.23,7.52,0.31,12,2,Moderate Stress
AQ0078,27.61,85.44,Lalitpur,deep_tube,wet,urban,112.71,31.41,17.42,135.5,7.78,696.44,5.24,0.76,6.91,2.7,8,1,Critical Depletion Zone
AQ0079,27.67,85.33,Kathmandu,deep_tube,dry,urban,118.58,45.53,39.59,1289.54,32.58,1289.31,9.87,0.2,7.82,1.67,14,1,Critical Depletion Zone
AQ0080,27.62,85.27,Bhaktapur,deep_tube,dry,urban,213.37,31.58,15.18,332.1,21.87,431.1,4.34,0.07,6.79,2.13,8,1,Critical Depletion Zone
AQ0081,27.77,85.32,Lalitpur,shallow_tube,wet,urban,75.76,13.11,36.16,1128.68,31.22,160.76,4.36,0.64,7.34,1.58,12,0,Moderate Stress
AQ0082,27.72,85.45,Kathmandu,shallow_tube,wet,peri-urban,89.24,21.28,15.5,167.55,10.81,569.51,2.77,0.37,7.69,0.5,5,2,Moderate Stress
AQ0083,27.67,85.33,Kathmandu,deep_tube,wet,urban,124.32,24.24,33.14,870.95,26.28,506.66,6.52,0.83,6.96,1.25,8,0,Moderate Stress
AQ0084,27.61,85.29,Bhaktapur,deep_tube,dry,urban,170.51,52.15,38.62,994.92,25.76,857.84,4.02,0.59,6.81,1.95,10,1,Critical Depletion Zone
AQ0085,27.66,85.36,Bhaktapur,dug,dry,urban,7.91,4.19,14.84,346.76,23.36,285.64,9.32,0.09,7.12,1.84,8,0,Moderate Stress
AQ0086,27.67,85.26,Kathmandu,shallow_tube,wet,urban,70.57,9.55,7.7,248.03,32.22,443.53,4.13,0.85,7.84,1.76,3,0,Moderate Stress
AQ0087,27.75,85.22,Lalitpur,deep_tube,wet,urban,148.98,29.42,10.89,149.52,13.72,1013.94,9.17,0.24,8.06,2.01,2,1,Critical Depletion Zone
AQ0088,27.73,85.23,Kathmandu,deep_tube,dry,urban,101.85,46.7,32.27,168.66,5.23,1027.4,2.83,0.31,7.29,3.14,9,1,Critical Depletion Zone
AQ0089,27.78,85.23,Bhaktapur,deep_tube,dry,urban,169.95,11.06,43.23,982.01,22.72,683.01,7.25,0.37,7.52,2.41,2,0,Moderate Stress
AQ0090,27.69,85.24,Kathmandu,deep_tube,wet,peri-urban,130.37,15.0,7.02,172.68,24.58,150.0,5.53,0.06,8.01,0.59,9,2,Moderate Stress
AQ0091,27.62,85.24,Bhaktapur,deep_tube,dry,peri-urban,154.03,57.28,38.04,745.28,19.59,542.58,1.84,0.45,6.4,0.46,4,1,Critical Depletion Zone
AQ0092,27.74,85.37,Lalitpur,dug,dry,peri-urban,9.7,1.92,20.36,156.5,7.69,150.0,5.84,0.12,6.66,0.66,12,2,Moderate Stress
AQ0093,27.75,85.25,Lalitpur,shallow_tube,wet,urban,44.71,15.06,26.53,459.32,17.31,388.7,5.62,0.37,7.62,2.32,13,2,Moderate Stress
AQ0094,27.71,85.29,Lalitpur,shallow_tube,dry,urban,85.26,15.32,46.8,519.19,11.09,744.58,9.57,0.32,7.85,2.45,2,1,Critical Depletion Zone
AQ0095,27.75,85.43,Kathmandu,deep_tube,wet,urban,122.62,31.42,19.94,295.52,14.82,817.58,7.41,0.7,7.91,2.53,10,1,Critical Depletion Zone
AQ0096,27.7,85.32,Kathmandu,deep_tube,dry,peri-urban,180.7,40.11,25.94,567.11,21.86,556.75,2.51,0.72,7.03,1.44,1,1,Critical Depletion Zone
AQ0097,27.7,85.37,Kathmandu,shallow_tube,dry,urban,97.88,7.29,5.62,140.93,25.1,468.4,3.51,0.15,6.38,1.52,4,2,Moderate Stress
AQ0098,27.69,85.24,Kathmandu,shallow_tube,dry,urban,17.37,14.71,8.67,73.79,8.51,409.34,4.43,0.34,7.08,0.82,9,2,Moderate Stress
AQ0099,27.61,85.25,Lalitpur,shallow_tube,dry,urban,8.77,10.56,16.64,234.67,14.11,546.55,2.74,0.34,6.66,1.55,12,2,Moderate Stress
AQ0100,27.62,85.21,Kathmandu,dug,wet,urban,6.04,6.68,6.25,60.68,9.7,620.02,3.15,0.14,6.78,0.88,9,2,Moderate Stress
AQ0101,27.61,85.24,Kathmandu,shallow_tube,dry,urban,16.52,5.25,33.41,248.0,7.42,150.0,2.84,0.72,7.74,1.72,4,2,Moderate Stress
AQ0102,27.73,85.27,Bhaktapur,shallow_tube,dry,urban,76.85,15.13,24.19,636.86,26.33,611.23,5.38,0.64,6.35,1.38,9,0,Moderate Stress
AQ0103,27.66,85.25,Bhaktapur,shallow_tube,wet,peri-urban,92.14,6.26,29.67,901.84,30.4,449.1,4.98,0.18,7.86,0.87,12,0,Moderate Stress
AQ0104,27.7,85.22,Bhaktapur,shallow_tube,dry,urban,47.93,8.41,12.86,166.79,12.97,401.07,3.13,0.34,7.06,1.84,6,2,Moderate Stress
AQ0105,27.78,85.23,Bhaktapur,shallow_tube,dry,urban,31.8,7.03,18.32,463.26,25.29,610.44,3.04,0.1,7.39,2.28,1,0,Moderate Stress
AQ0106,27.65,85.32,Kathmandu,deep_tube,wet,urban,152.13,14.24,34.87,1046.26,30.0,1105.32,7.15,0.57,6.38,1.93,10,1,Critical Depletion Zone
AQ0107,27.68,85.25,Kathmandu,shallow_tube,dry,urban,74.56,20.99,48.44,1373.62,28.36,589.04,3.58,0.12,6.87,1.54,13,0,Moderate Stress
AQ0108,27.75,85.29,Lalitpur,dug,dry,urban,3.06,3.0,7.27,50.23,6.91,508.66,2.78,0.89,6.38,2.19,14,2,Moderate Stress
AQ0109,27.65,85.33,Lalitpur,shallow_tube,wet,peri-urban,62.23,23.32,45.07,1438.55,31.92,285.63,1.83,0.7,8.12,1.39,6,0,Moderate Stress
AQ0110,27.62,85.38,Kathmandu,deep_tube,dry,urban,173.6,58.32,30.96,408.02,13.18,1019.41,9.39,0.36,7.81,1.52,9,1,Critical Depletion Zone
AQ0111,27.66,85.21,Bhaktapur,dug,wet,peri-urban,7.46,5.8,30.38,363.57,11.97,350.04,5.11,0.52,7.12,0.64,13,2,Moderate Stress
AQ0112,27.63,85.41,Kathmandu,deep_tube,wet,urban,129.04,12.01,27.51,83.05,3.02,559.05,4.83,0.82,6.65,0.88,2,2,Moderate Stress
AQ0113,27.79,85.36,Kathmandu,deep_tube,wet,urban,185.69,24.97,8.12,135.81,16.72,445.81,7.25,0.5,8.07,1.94,6,1,Critical Depletion Zone
AQ0114,27.76,85.22,Lalitpur,shallow_tube,dry,peri-urban,16.41,20.35,9.04,40.92,4.52,444.75,3.69,0.17,6.89,1.34,2,2,Moderate Stress
AQ0115,27.73,85.43,Lalitpur,shallow_tube,dry,urban,26.33,10.45,32.04,289.53,9.04,796.94,7.42,0.35,6.52,1.08,4,2,Moderate Stress
AQ0116,27.77,85.44,Lalitpur,deep_tube,wet,urban,205.3,8.87,20.34,228.82,11.25,578.46,7.46,0.76,7.33,2.18,8,1,Critical Depletion Zone
AQ0117,27.76,85.22,Kathmandu,dug,wet,urban,8.17,5.66,46.28,1256.52,27.15,648.96,7.03,0.58,8.09,2.25,13,0,Moderate Stress
AQ0118,27.64,85.27,Bhaktapur,deep_tube,dry,urban,101.65,51.33,23.3,682.76,29.31,865.87,4.13,0.59,6.21,2.71,7,1,Critical Depletion Zone
AQ0119,27.78,85.41,Kathmandu,deep_tube,wet,peri-urban,129.81,48.57,11.45,123.4,10.78,835.7,1.2,0.78,6.68,1.38,11,1,Critical Depletion Zone
AQ0120,27.71,85.39,Kathmandu,deep_tube,dry,urban,125.73,13.81,37.16,1068.96,28.76,593.92,5.64,0.81,8.08,1.35,12,0,Moderate Stress
AQ0121,27.76,85.25,Bhaktapur,deep_tube,dry,peri-urban,132.5,41.67,18.2,522.68,28.72,426.57,5.45,0.83,6.54,0.96,13,1,Critical Depletion Zone
AQ0122,27.78,85.25,Bhaktapur,shallow_tube,dry,peri-urban,30.78,7.07,28.65,736.89,25.72,334.42,3.85,0.09,6.43,0.36,9,0,Moderate Stress
AQ0123,27.66,85.3,Bhaktapur,deep_tube,dry,urban,107.5,16.22,36.4,209.06,5.74,363.86,8.66,0.49,7.34,0.87,7,2,Moderate Stress
AQ0124,27.62,85.33,Bhaktapur,dug,wet,agriculture,6.21,8.77,45.51,1061.36,23.32,361.08,7.95,0.67,7.92,0.92,1,0,Moderate Stress
AQ0125,27.65,85.36,Lalitpur,shallow_tube,dry,urban,75.41,7.74,40.65,1282.7,31.56,515.29,3.31,0.68,7.15,1.56,2,0,Moderate Stress
AQ0126,27.69,85.3,Lalitpur,deep_tube,dry,agriculture,172.81,18.74,35.44,817.47,23.07,646.87,6.15,0.55,8.19,0.46,6,0,Moderate Stress
AQ0127,27.76,85.32,Kathmandu,shallow_tube,dry,urban,69.9,2.02,35.58,417.12,11.72,182.3,7.39,0.16,7.56,1.12,7,2,Moderate Stress
AQ0128,27.77,85.39,Kathmandu,deep_tube,wet,urban,109.74,52.76,47.57,817.45,17.19,1138.37,9.84,0.72,6.35,2.14,3,1,Critical Depletion Zone
AQ0129,27.6,85.21,Kathmandu,shallow_tube,dry,urban,95.54,20.23,18.31,400.64,21.88,716.7,9.88,0.65,8.19,2.17,9,1,Critical Depletion Zone
AQ0130,27.7,85.27,Kathmandu,deep_tube,wet,urban,200.62,39.13,5.05,88.42,17.51,650.36,7.49,0.09,7.02,1.25,13,1,Critical Depletion Zone
AQ0131,27.68,85.39,Lalitpur,deep_tube,wet,urban,196.61,46.01,17.24,84.09,4.88,552.63,3.95,0.42,6.77,1.95,7,1,Critical Depletion Zone
AQ0132,27.64,85.43,Kathmandu,shallow_tube,wet,peri-urban,83.71,5.5,14.81,164.19,11.09,225.99,4.99,0.16,7.32,0.73,14,2,Moderate Stress
AQ0133,27.62,85.33,Kathmandu,deep_tube,dry,urban,211.93,29.67,34.78,937.19,26.94,607.47,2.86,0.31,6.81,1.35,6,1,Critical Depletion Zone
AQ0134,27.67,85.34,Kathmandu,deep_tube,dry,urban,165.31,23.67,33.52,967.05,28.85,659.31,8.25,0.03,6.37,2.44,13,1,Critical Depletion Zone
AQ0135,27.79,85.23,Lalitpur,dug,dry,peri-urban,4.4,1.12,31.71,172.46,5.44,150.0,5.55,0.37,6.2,1.07,6,2,Moderate Stress
AQ0136,27.66,85.32,Kathmandu,shallow_tube,dry,urban,64.74,13.18,5.73,182.21,31.79,150.0,5.06,0.5,7.1,0.84,1,0,Moderate Stress
AQ0137,27.7,85.34,Bhaktapur,shallow_tube,wet,agriculture,76.35,23.18,37.8,439.63,11.63,554.1,5.78,0.56,7.87,0.63,13,2,Moderate Stress
AQ0138,27.74,85.26,Kathmandu,shallow_tube,dry,peri-urban,75.89,2.92,19.56,438.41,22.41,168.09,3.15,0.6,7.34,1.35,5,2,Moderate Stress
AQ0139,27.67,85.27,Kathmandu,dug,wet,agriculture,6.65,3.06,34.93,883.98,25.31,557.3,4.63,0.75,8.2,0.5,10,0,Moderate Stress
AQ0140,27.79,85.3,Lalitpur,dug,dry,peri-urban,3.48,2.23,30.05,818.84,27.25,150.0,2.55,0.2,6.77,0.41,3,0,Moderate Stress
AQ0141,27.79,85.21,Bhaktapur,deep_tube,dry,urban,144.53,17.34,20.42,644.94,31.58,909.1,8.1,0.12,6.76,2.09,7,1,Critical Depletion Zone
AQ0142,27.65,85.28,Kathmandu,dug,dry,urban,9.45,9.1,11.06,122.92,11.12,150.0,9.49,0.77,6.52,1.83,10,2,Moderate Stress
AQ0143,27.7,85.25,Lalitpur,deep_tube,dry,peri-urban,170.13,30.21,9.25,265.98,28.76,764.35,5.7,0.15,6.53,0.98,3,1,Critical Depletion Zone
AQ0144,27.66,85.29,Lalitpur,deep_tube,wet,urban,164.6,30.11,42.42,223.03,5.26,656.26,3.4,0.88,6.77,1.18,5,1,Critical Depletion Zone
AQ0145,27.66,85.23,Kathmandu,shallow_tube,wet,urban,32.73,19.49,46.33,1102.43,23.8,766.85,9.0,0.76,7.79,1.86,7,0,Moderate Stress
AQ0146,27.61,85.43,Bhaktapur,deep_tube,dry,urban,144.21,12.65,34.24,855.69,24.99,542.48,7.9,0.46,8.01,1.15,14,0,Moderate Stress
AQ0147,27.72,85.35,Lalitpur,shallow_tube,wet,agriculture,90.37,13.21,9.65,221.21,22.91,759.98,3.52,0.88,8.15,0.7,3,2,Moderate Stress
AQ0148,27.7,85.38,Lalitpur,dug,wet,urban,7.67,4.41,23.09,211.47,9.16,366.67,2.54,0.1,6.66,1.73,13,2,Moderate Stress
AQ0149,27.61,85.41,Bhaktapur,deep_tube,wet,urban,194.49,37.43,37.8,1104.9,29.23,554.55,4.14,0.28,7.96,2.05,13,1,Critical Depletion Zone
AQ0150,27.66,85.33,Bhaktapur,deep_tube,dry,urban,154.52,59.98,40.09,258.98,6.46,1283.85,9.3,0.58,6.86,2.87,10,1,Critical Depletion Zone
AQ0151,27.78,85.22,Lalitpur,shallow_tube,wet,urban,65.98,19.7,10.32,28.22,2.73,574.28,7.07,0.32,6.43,0.93,2,2,Moderate Stress
AQ0152,27.65,85.34,Bhaktapur,shallow_tube,wet,urban,30.85,11.15,5.0,121.02,24.2,555.82,7.77,0.84,7.94,0.98,6,2,Moderate Stress
AQ0153,27.63,85.35,Lalitpur,shallow_tube,dry,urban,72.9,21.03,37.05,606.58,16.37,857.29,4.06,0.07,7.47,1.64,8,1,Critical Depletion Zone
AQ0154,27.7,85.39,Lalitpur,shallow_tube,dry,urban,47.34,5.93,21.05,598.87,28.45,252.87,7.76,0.5,6.53,1.07,4,0,Moderate Stress
AQ0155,27.8,85.31,Lalitpur,shallow_tube,wet,peri-urban,48.71,2.7,16.45,220.39,13.4,346.1,1.14,0.54,7.06,1.47,9,2,Moderate Stress
AQ0156,27.65,85.23,Lalitpur,dug,wet,urban,7.55,2.2,5.58,35.94,6.44,304.06,5.0,0.59,6.77,1.07,12,2,Moderate Stress
AQ0157,27.73,85.27,Kathmandu,deep_tube,wet,peri-urban,212.35,23.06,29.31,822.1,28.04,404.2,4.13,0.24,7.67,0.88,12,0,Moderate Stress
