household_id,lat,lon,district,season,household_size,uses_piped_water,uses_groundwater_well,uses_tanker,aquifer_id,water_insecurity_index
HH00065,27.606235,85.200245,Bhaktapur,wet,4,1,1,0,AQ0346,37.4
HH00066,27.774039,85.396859,Bhaktapur,dry,5,0,1,0,AQ0352,20.93
HH00067,27.627731,85.456154,Kathmandu,wet,6,1,0,0,AQ0029,40.15
HH00068,27.625462,85.410577,Kathmandu,dry,6,0,1,0,AQ0086,40.34
HH00069,27.635134,85.319654,Kathmandu,wet,5,0,1,0,AQ0047,37.78
HH00070,27.792053,85.434979,Lalitpur,dry,5,1,0,0,AQ0077,13.61
HH00071,27.738634,85.30656,Lalitpur,dry,6,0,1,0,AQ0343,42.2
HH00072,27.760274,85.336483,Lalitpur,wet,6,1,1,1,AQ0191,34.03
HH00073,27.679527,85.324054,Lalitpur,dry,6,1,1,1,AQ0031,16.9
HH00074,27.667263,85.316382,Bhaktapur,wet,4,1,1,1,AQ0307,24.99
HH00075,27.646897,85.40155,Kathmandu,dry,8,0,1,0,AQ0169,46.83
HH00076,27.69613,85.33696,Kathmandu,wet,4,1,1,1,AQ0036,4.24
HH00077,27.710366,85.282346,Lalitpur,dry,3,0,0,1,AQ0245,28.41
HH00078,27.726355,85.267121,Bhaktapur,dry,4,0,1,0,AQ0424,33.12
HH00079,27.651424,85.209814,Lalitpur,dry,3,0,1,0,AQ0351,45.76
HH00080,27.789731,85.351631,Lalitpur,dry,3,0,1,0,AQ0188,64.12
HH00081,27.633952,85.25979,Lalitpur,wet,4,1,1,1,AQ0015,45.58
HH00082,27.793131,85.238515,Bhaktapur,dry,3,0,1,1,AQ0334,42.79
HH00083,27.602971,85.369996,Kathmandu,dry,5,1,1,0,AQ0483,38.77
HH00084,27.696225,85.377114,Kathmandu,dry,3,0,1,1,AQ0216,27.82
HH00085,27.666674,85.39556,Bhaktapur,wet,4,0,0,1,AQ0158,18.63
HH00086,27.689825,85.33093,Bhaktapur,dry,3,1,0,0,AQ0414,15.6
HH00087,27.714133,85.432454,Kathmandu,wet,3,0,1,0,AQ0155,21.15
HH00088,27.687118,85.443449,Kathmandu,dry,4,1,0,0,AQ0241,42.49
HH00089,27.682969,85.409916,Kathmandu,wet,5,0,1,0,AQ0296,37.94
HH00090,27.746545,85.365254,Kathmandu,wet,8,1,0,0,AQ0462,35.07
HH00091,27.737175,85.278967,Bhaktapur,dry,7,0,0,1,AQ0045,33.1
HH00092,27.766654,85.455566,Kathmandu,wet,7,1,1,1,AQ0495,34.98
HH00093,27.649992,85.271275,Bhaktapur,dry,4,0,0,1,AQ0459,48.53
HH00094,27.721906,85.252691,Kathmandu,dry,4,1,1,0,AQ0175,37.47
HH00095,27.717039,85.31496,Lalitpur,wet,3,1,0,0,AQ0492,17.21
HH00096,27.673948,85.214779,Kathmandu,wet,6,1,1,1,AQ0346,42.57
HH00097,27.697212,85.454409,Lalitpur,dry,3,1,1,0,AQ0056,5.6
HH00098,27.662756,85.352993,Lalitpur,wet,5,1,0,0,AQ0054,31.46
HH00099,27.628369,85.344808,Lalitpur,dry,4,1,1,0,AQ0341,25.84
HH00100,27.64276,85.370507,Kathmandu,dry,4,1,0,0,AQ0265,54.17
HH00101,27.621103,85.329226,Kathmandu,wet,8,0,1,1,AQ0374,42.53
HH00102,27.736614,85.208337,Kathmandu,wet,6,0,0,1,AQ0239,23.86
HH00103,27.732145,85.359201,Kathmandu,wet,6,1,1,0,AQ0321,24.9
HH00104,27.790121,85.386205,Lalitpur,dry,5,0,1,1,AQ0108,31.38
HH00105,27.745936,85.308355,Lalitpur,wet,7,0,1,0,AQ0198,45.83
HH00106,27.610409,85.396897,Lalitpur,wet,5,0,1,1,AQ0385,40.43
HH00107,27.776849,85.25902,Lalitpur,dry,7,1,0,1,AQ0214,69.82
HH00108,27.772535,85.257532,Kathmandu,dry,4,0,1,0,AQ0499,36.29
HH00109,27.688664,85.241968,Kathmandu,wet,5,0,0,1,AQ0246,20.23
HH00110,27.717173,85.296719,Kathmandu,wet,5,1,1,0,AQ0397,33.9
HH00111,27.795216,85.420223,Bhaktapur,dry,4,1,1,0,AQ0038,40.92
HH00112,27.706461,85.415257,Lalitpur,dry,7,0,1,1,AQ0497,27.81
HH00113,27.781064,85.299534,Kathmandu,dry,8,1,0,1,AQ0173,47.59
HH00114,27.616608,85.353171,Kathmandu,dry,5,1,0,1,AQ0105,35.8
HH00115,27.63821,85.387412,Bhaktapur,dry,4,1,0,0,AQ0040,28.11
HH00116,27.688151,85.262714,Lalitpur,dry,5,1,1,0,AQ0479,25.5
HH00117,27.716951,85.243717,Lalitpur,dry,7,0,1,0,AQ0399,60.76
HH00118,27.763246,85.452745,Kathmandu,dry,5,0,0,1,AQ0434,49.45
HH00119,27.797652,85.360565,Kathmandu,dry,3,1,1,0,AQ0130,40.46
HH00120,27.67777,85.455168,Bhaktapur,wet,5,0,1,0,AQ0181,36.28
HH00121,27.609483,85.287817,Lalitpur,wet,3,1,1,0,AQ0479,11.94
HH00122,27.760234,85.382788,Kathmandu,dry,6,1,1,0,AQ0410,45.31
HH00123,27.720876,85.257877,Bhaktapur,wet,4,1,1,1,AQ0194,21.48
HH00124,27.639709,85.267912,Lalitpur,dry,5,1,1,1,AQ0331,36.76
HH00125,27.698966,85.333095,Kathmandu,wet,6,1,1,0,AQ0289,11.14
HH00126,27.748462,85.283101,Kathmandu,dry,3,0,1,1,AQ0466,44.49
HH00127,27.754082,85.243582,Kathmandu,wet,4,1,0,0,AQ0341,31.2
HH00128,27.699924,85.268349,Kathmandu,dry,4,0,1,0,AQ0059,37.53
HH00129,27.661043,85.209295,Lalitpur,dry,4,0,0,1,AQ0351,44.16
HH00130,27.794749,85.38315,Kathmandu,wet,4,1,0,0,AQ0026,41.18
HH00131,27.732673,85.32795,Bhaktapur,dry,8,0,0,1,AQ0478,72.21
HH00132,27.681648,85.224503,Bhaktapur,wet,6,1,0,0,AQ0103,24.94
HH00133,27.656093,85.24464,Kathmandu,wet,7,1,1,1,AQ0021,22.72
HH00134,27.746221,85.226659,Kathmandu,wet,7,1,1,0,AQ0433,53.41
HH00135,27.648437,85.359274,Bhaktapur,wet,4,1,1,0,AQ0080,47.99
HH00136,27.634342,85.224495,Lalitpur,dry,4,1,1,0,AQ0327,11.33
HH00137,27.705967,85.396113,Lalitpur,wet,4,0,1,0,AQ0470,20.88
HH00138,27.657997,85.205333,Kathmandu,dry,6,1,1,0,AQ0199,28.48
HH00139,27.725781,85.264838,Kathmandu,wet,5,0,1,1,AQ0322,4.5
HH00140,27.623588,85.431573,Lalitpur,dry,4,0,1,0,AQ0037,26.57
HH00141,27.730988,85.386818,Bhaktapur,wet,4,1,0,0,AQ0014,40.18
HH00142,27.656659,85.218972,Kathmandu,dry,5,1,0,1,AQ0456,29.93
HH00143,27.600049,85.413493,Bhaktapur,dry,5,0,1,0,AQ0221,32.81
HH00144,27.625387,85.328189,Kathmandu,dry,7,1,1,0,AQ0364,32.84
HH00145,27.786723,85.420164,Bhaktapur,wet,4,0,1,1,AQ0391,21.8
HH00146,27.773471,85.356192,Lalitpur,dry,7,0,1,0,AQ0166,53.54
HH00147,27.646722,85.377277,Kathmandu,wet,4,1,1,1,AQ0173,21.02
HH00148,27.755674,85.45831,Lalitpur,wet,6,1,1,0,AQ0150,78.85
HH00149,27.721714,85.260407,Kathmandu,wet,7,1,1,1,AQ0172,12.3
HH00150,27.794181,85.362226,Kathmandu,wet,7,1,0,0,AQ0081,29.83
HH00151,27.674721,85.319684,Kathmandu,wet,3,1,0,0,AQ0336,30.68
HH00152,27.736292,85.210258,Kathmandu,dry,4,1,0,0,AQ0225,42.17
HH00153,27.612707,85.203762,Kathmandu,wet,5,0,1,1,AQ0359,24.87
HH00154,27.679249,85.230999,Lalitpur,wet,4,0,1,1,AQ0035,22.91
HH00155,27.792764,85.368764,Lalitpur,wet,5,0,1,0,AQ0358,35.2
HH00156,27.707796,85.347462,Kathmandu,dry,7,1,1,0,AQ0188,54.34
HH00157,27.657576,85.343892,Bhaktapur,dry,3,0,1,0,AQ0224,29.98
HH00158,27.624054,85.208283,Lalitpur,wet,5,1,0,0,AQ0131,52.24
HH00159,27.740706,85.322019,Bhaktapur,dry,4,1,0,0,AQ0374,52.76
HH00160,27.728971,85.440402,Lalitpur,dry,7,0,1,0,AQ0451,30.93
HH00161,27.674788,85.303374,Kathmandu,wet,8,0,1,0,AQ0456,38.71
HH00162,27.790188,85.36248,Kathmandu,dry,5,0,1,0,AQ0494,41.36
HH00163,27.604441,85.402753,Lalitpur,dry,3,1,0,1,AQ0351,44.33
HH00164,27.660745,85.403821,Kathmandu,dry,6,1,0,0,AQ0311,64.66
HH00165,27.784214,85.335013,Kathmandu,wet,5,1,1,0,AQ0009,52.38
HH00166,27.664187,85.423068,Kathmandu,wet,4,1,0,0,AQ0069,44.36
HH00167,27.650451,85.301758,Kathmandu,wet,7,1,1,0,AQ0028,25.36
HH00168,27.706844,85.43106,Kathmandu,dry,8,1,1,0,AQ0399,47.88
HH00169,27.76476,85.262459,Kathmandu,dry,5,0,1,0,AQ0369,40.07
HH00170,27.620629,85.272856,Kathmandu,wet,5,1,1,1,AQ0475,15.2
HH00171,27.788604,85.213811,Lalitpur,wet,4,1,1,0,AQ0234,33.11
HH00172,27.759015,85.406851,Lalitpur,dry,5,0,1,1,AQ0031,33.41
HH00173,27.63625,85.308434,Kathmandu,dry,4,1,1,0,AQ0315,23.03
HH00174,27.742402,85.25957,Kathmandu,dry,4,1,1,0,AQ0232,73.39
HH00175,27.676992,85.260265,Kathmandu,dry,3,1,1,0,AQ0338,47.9
HH00176,27.680459,85.434364,Kathmandu,dry,4,0,0,1,AQ0486,28.27
HH00177,27.756658,85.416818,Kathmandu,wet,4,1,0,1,AQ0497,18.11
HH00178,27.792557,85.343918,Kathmandu,wet,5,1,1,1,AQ0054,17.19
HH00179,27.625331,85.360189,Lalitpur,wet,5,1,1,0,AQ0452,30.66
HH00180,27.684126,85.323325,Lalitpur,dry,5,1,1,0,AQ0469,28.75
HH00181,27.696188,85.301833,Kathmandu,wet,4,1,1,1,AQ0175,24.54
HH00182,27.675262,85.438024,Kathmandu,wet,4,1,1,0,AQ0298,21.82
HH00183,27.672638,85.232659,Lalitpur,wet,6,0,1,0,AQ0279,33.16
HH00184,27.610454,85.308796,Bhaktapur,wet,5,0,1,1,AQ0365,20.7
HH00185,27.737108,85.289586,Lalitpur,dry,8,0,1,0,AQ0086,37.32
HH00186,27.687243,85.329519,Lalitpur,wet,4,0,1,0,AQ0065,29.93
HH00187,27.638959,85.318984,Kathmandu,wet,5,0,1,0,AQ0089,57.07
HH00188,27.763207,85.334911,Kathmandu,dry,3,1,1,0,AQ0054,20.32
HH00189,27.760512,85.236379,Bhaktapur,wet,5,0,1,0,AQ0118,65.89
HH00190,27.697278,85.333417,Kathmandu,dry,7,1,1,1,AQ0361,46.28
HH00191,27.65969,85.263029,Bhaktapur,dry,7,1,1,0,AQ0476,41.38
HH00192,27.727619,85.247926,Lalitpur,dry,8,1,1,0,AQ0229,37.51
HH00193,27.65763,85.216857,Lalitpur,dry,4,1,0,1,AQ0267,56.21
HH00194,27.647202,85.39829,Kathmandu,wet,5,1,1,0,AQ0319,65.64
HH00195,27.746103,85.311135,Lalitpur,dry,5,0,1,0,AQ0022,57.58
HH00196,27.608065,85.362927,Kathmandu,wet,5,1,1,1,AQ0438,29.92
HH00197,27.618954,85.389174,Kathmandu,wet,4,1,1,0,AQ0247,49.09
HH00198,27.601358,85.376622,Kathmandu,wet,7,1,0,1,AQ0473,14.58
HH00199,27.630589,85.32233,Bhaktapur,wet,7,1,1,0,AQ0373,21.78
HH00200,27.613798,85.300854,Lalitpur,dry,4,1,0,0,AQ0469,36.2
HH00201,27.79916,85.29775,Kathmandu,wet,4,0,1,0,AQ0420,63.92
HH00202,27.657762,85.366413,Kathmandu,dry,3,1,1,0,AQ0314,25.88
HH00203,27.629854,85.328647,Lalitpur,wet,5,0,1,0,AQ0020,27.27
HH00204,27.648199,85.420774,Lalitpur,wet,4,1,0,1,AQ0400,67.44
HH00205,27.787225,85.427423,Lalitpur,dry,7,1,0,1,AQ0476,55.37
HH00206,27.704032,85.244346,Lalitpur,wet,5,1,1,0,AQ0184,33.51
HH00207,27.672964,85.235421,Kathmandu,dry,5,0,1,0,AQ0349,47.06
HH00208,27.774678,85.363904,Lalitpur,wet,5,1,1,1,AQ0050,53.33
HH00209,27.678998,85.278319,Kathmandu,wet,3,0,0,1,AQ0090,22.87
HH00210,27.667002,85.204828,Bhaktapur,wet,7,1,0,0,AQ0104,33.7
HH00211,27.641457,85.431047,Lalitpur,dry,5,1,0,0,AQ0194,34.5
HH00212,27.675559,85.258994,Kathmandu,wet,8,1,1,1,AQ0383,73.67
HH00213,27.663337,85.441613,Kathmandu,wet,5,0,1,0,AQ0369,36.2
HH00214,27.735461,85.386533,Bhaktapur,wet,6,1,0,0,AQ0074,40.12
HH00215,27.657917,85.39829,Kathmandu,dry,3,1,1,0,AQ0269,27.61
HH00216,27.71544,85.25238,Kathmandu,dry,5,1,1,0,AQ0015,45.69
HH00217,27.613178,85.260891,Lalitpur,dry,6,0,1,0,AQ0329,62.71
HH00218,27.638258,85.33553,Kathmandu,wet,6,1,1,1,AQ0283,11.51
HH00219,27.681481,85.244746,Lalitpur,dry,6,1,0,0,AQ0392,61.54
HH00220,27.78739,85.279412,Kathmandu,dry,4,1,1,1,AQ0198,40.92
HH00221,27.67545,85.28358,Lalitpur,dry,8,0,1,1,AQ0484,32.96
HH00222,27.732815,85.241504,Kathmandu,dry,8,0,1,0,AQ0434,49.75
HH00223,27.651017,85.253348,Kathmandu,dry,3,1,1,1,AQ0344,19.93
HH00224,27.625407,85.405023,Bhaktapur,wet,7,1,1,0,AQ0195,19.65
HH00225,27.611707,85.243471,Lalitpur,dry,4,0,1,0,AQ0410,45.69
HH00226,27.661083,85.207399,Kathmandu,dry,5,0,1,0,AQ0036,33.21
HH00227,27.631532,85.363632,Kathmandu,wet,4,1,0,0,AQ0405,64.57
HH00228,27.634802,85.453756,Lalitpur,wet,8,1,1,1,AQ0205,33.97
HH00229,27.752152,85.286116,Lalitpur,dry,3,1,1,1,AQ0308,32.13
HH00230,27.603168,85.23085,Bhaktapur,wet,5,1,1,0,AQ0139,1.72
HH00231,27.711562,85.348301,Bhaktapur,dry,4,1,1,0,AQ0264,35.4
HH00232,27.675892,85.435652,Lalitpur,wet,4,0,1,0,AQ0057,37.57
HH00233,27.70131,85.403856,Kathmandu,wet,5,1,1,1,AQ0110,55.46
HH00234,27.712566,85.361854,Kathmandu,wet,3,1,1,0,AQ0174,6.9
HH00235,27.662674,85.281915,Lalitpur,wet,6,1,0,0,AQ0496,38.18
HH00236,27.659022,85.340889,Kathmandu,wet,8,1,1,0,AQ0206,19.67
HH00237,27.74668,85.223724,Kathmandu,wet,6,1,0,1,AQ0225,35.18
HH00238,27.774255,85.376526,Kathmandu,dry,7,1,0,0,AQ0386,54.33
HH00239,27.638516,85.388525,Kathmandu,dry,4,0,1,0,AQ0064,36.47
HH00240,27.619524,85.450908,Kathmandu,wet,4,1,0,0,AQ0252,53.0
HH00241,27.779559,85.267703,Kathmandu,dry,5,1,1,0,AQ0436,36.64
HH00242,27.669979,85.204799,Lalitpur,dry,3,1,0,1,AQ0449,20.4
HH00243,27.710263,85.341858,Kathmandu,dry,7,1,0,1,AQ0267,62.48
HH00244,27.671909,85.383766,Kathmandu,dry,3,1,1,0,AQ0390,20.97
HH00245,27.62516,85.405506,Kathmandu,wet,7,1,0,0,AQ0352,30.51
HH00246,27.717866,85.250372,Lalitpur,wet,3,0,1,1,AQ0463,43.05
HH00247,27.705028,85.268056,Kathmandu,wet,6,1,1,0,AQ0332,42.78
HH00248,27.640599,85.333274,Lalitpur,wet,4,1,1,0,AQ0320,27.82
HH00249,27.690374,85.285956,Bhaktapur,dry,3,1,1,0,AQ0357,40.93
HH00250,27.75939,85.423733,Kathmandu,wet,6,0,1,1,AQ0093,47.97
HH00251,27.718085,85.323178,Kathmandu,dry,4,1,1,1,AQ0183,43.87
HH00252,27.619383,85.40789,Kathmandu,dry,6,0,1,0,AQ0300,44.91
HH00253,27.709604,85.350961,Bhaktapur,dry,5,0,1,0,AQ0214,62.85
HH00254,27.740548,85.401003,Lalitpur,dry,3,1,1,0,AQ0494,38.1
HH00255,27.758541,85.286495,Bhaktapur,wet,7,1,1,1,AQ0142,40.56
HH00256,27.725824,85.416168,Kathmandu,dry,5,1,0,1,AQ0083,36.82
HH00257,27.630532,85.271389,Bhaktapur,wet,6,0,1,0,AQ0389,36.28
HH00258,27.742035,85.341986,Kathmandu,dry,5,1,1,0,AQ0099,35.35
HH00259,27.735468,85.255642,Kathmandu,dry,5,1,0,0,AQ0281,44.07
HH00260,27.604885,85.323637,Bhaktapur,dry,4,0,1,0,AQ0434,45.26
HH00261,27.68235,85.282726,Bhaktapur,wet,4,1,0,0,AQ0102,30.6
HH00262,27.66659,85.269343,Kathmandu,dry,5,1,0,0,AQ0329,64.36
HH00263,27.733882,85.451416,Kathmandu,wet,4,0,1,0,AQ0378,60.6
HH00264,27.643227,85.241619,Kathmandu,wet,4,0,1,0,AQ0071,33.69
HH00265,27.718174,85.404705,Kathmandu,dry,5,1,1,1,AQ0373,17.97
HH00266,27.782641,85.455883,Kathmandu,wet,5,1,0,1,AQ0338,29.21
HH00267,27.75956,85.205174,Bhaktapur,dry,3,1,1,1,AQ0386,53.09
HH00268,27.784292,85.381747,Lalitpur,wet,4,1,1,0,AQ0372,12.02
HH00269,27.795701,85.265757,Lalitpur,dry,4,1,0,1,AQ0266,16.91
HH00270,27.602134,85.210527,Lalitpur,wet,3,1,1,0,AQ0492,13.95
HH00271,27.724548,85.304751,Lalitpur,dry,4,0,0,1,AQ0130,44.54
HH00272,27.682568,85.443157,Lalitpur,dry,3,1,1,0,AQ0060,38.01
HH00273,27.771971,85.203059,Lalitpur,dry,8,0,1,1,AQ0301,31.62
HH00274,27.650363,85.35285,Kathmandu,wet,6,1,1,1,AQ0392,50.89
HH00275,27.796206,85.330363,Lalitpur,dry,3,1,1,0,AQ0442,35.38
HH00276,27.722742,85.42708,Lalitpur,wet,3,1,1,1,AQ0119,36.42
HH00277,27.758707,85.22184,Bhaktapur,wet,6,1,1,0,AQ0263,35.9
HH00278,27.61712,85.377197,Bhaktapur,wet,4,1,1,0,AQ0483,19.05
HH00279,27.636692,85.376829,Kathmandu,dry,6,0,1,1,AQ0471,47.71
HH00280,27.751681,85.373961,Lalitpur,wet,7,0,0,1,AQ0328,41.26
HH00281,27.604397,85.445007,Kathmandu,dry,5,1,1,1,AQ0021,28.97
HH00282,27.763376,85.414003,Lalitpur,dry,4,0,0,1,AQ0097,23.32
HH00283,27.60279,85.210913,Kathmandu,wet,6,1,0,0,AQ0303,25.24
HH00284,27.731424,85.322482,Kathmandu,dry,8,0,1,0,AQ0001,46.57
HH00285,27.673019,85.303468,Kathmandu,wet,5,1,0,0,AQ0396,37.56
HH00286,27.722299,85.280638,Lalitpur,dry,5,1,1,0,AQ0203,40.65
HH00287,27.739206,85.317348,Kathmandu,wet,4,1,1,1,AQ0432,41.82
HH00288,27.668495,85.29989,Bhaktapur,dry,4,1,1,0,AQ0128,72.83
HH00289,27.621592,85.312407,Kathmandu,wet,6,0,1,0,AQ0350,43.17
HH00290,27.613929,85.454608,Bhaktapur,wet,7,1,0,0,AQ0132,27.84
HH00291,27.717787,85.223045,Lalitpur,wet,5,1,0,1,AQ0034,17.98
HH00292,27.704131,85.43978,Kathmandu,wet,6,1,1,0,AQ0087,52.42
HH00293,27.74844,85.324862,Kathmandu,wet,4,1,1,1,AQ0032,35.48
HH00294,27.701947,85.362173,Lalitpur,wet,4,1,1,0,AQ0259,10.67
HH00295,27.684489,85.415848,Lalitpur,wet,5,1,0,0,AQ0476,44.81
HH00296,27.679617,85.29372,Lalitpur,dry,4,1,0,1,AQ0324,43.96
HH00297,27.605289,85.31191,Kathmandu,dry,5,0,1,0,AQ0313,38.07
HH00298,27.667111,85.306475,Kathmandu,dry,4,1,0,0,AQ0370,32.12
HH00299,27.795204,85.29743,Bhaktapur,dry,6,0,0,1,AQ0460,15.03
HH00300,27.774711,85.440638,Kathmandu,dry,6,1,0,0,AQ0408,42.88
HH00301,27.665876,85.415522,Kathmandu,dry,5,1,0,0,AQ0033,46.82
HH00302,27.717559,85.22834,Kathmandu,wet,4,0,1,0,AQ0387,60.1
HH00303,27.769459,85.228112,Lalitpur,dry,5,0,1,1,AQ0388,49.33
HH00304,27.688255,85.311246,Lalitpur,wet,8,0,1,0,AQ0286,41.71
HH00305,27.603592,85.225651,Kathmandu,dry,5,0,0,1,AQ0326,21.25
HH00306,27.614902,85.360964,Kathmandu,dry,3,1,1,0,AQ0049,23.26
HH00307,27.702079,85.23736,Kathmandu,wet,3,1,1,0,AQ0286,26.89
HH00308,27.793888,85.335817,Kathmandu,dry,4,1,1,0,AQ0456,26.03
HH00309,27.738642,85.201877,Kathmandu,wet,4,1,1,0,AQ0082,16.02
HH00310,27.614183,85.282315,Bhaktapur,wet,6,1,0,0,AQ0144,34.23
HH00311,27.637872,85.37607,Kathmandu,wet,6,1,1,0,AQ0437,18.58
HH00312,27.754265,85.32585,Kathmandu,dry,4,1,0,0,AQ0390,28.23
HH00313,27.768288,85.45435,Bhaktapur,dry,4,1,1,0,AQ0280,31.32
HH00314,27.723539,85.427267,Kathmandu,dry,4,1,1,1,AQ0371,16.46
HH00315,27.728885,85.293358,Lalitpur,wet,7,1,0,0,AQ0092,29.56
HH00316,27.605667,85.211827,Kathmandu,dry,5,1,1,0,AQ0224,37.6
HH00317,27.765706,85.419863,Kathmandu,dry,5,1,1,0,AQ0217,45.1
HH00318,27.757655,85.436921,Bhaktapur,wet,4,1,1,1,AQ0156,12.57
HH00319,27.651807,85.413363,Lalitpur,dry,5,1,0,0,AQ0277,64.41
HH00320,27.741735,85.233267,Kathmandu,wet,4,0,1,0,AQ0008,35.35
HH00321,27.642971,85.459458,Lalitpur,wet,4,1,1,0,AQ0036,11.06
