aquifer_id,lat,lon,district,well_type,well_depth_m,water_table_depth_m,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day,aquifer_thickness_m,tds_mg_per_L,nitrate_mg_per_L,fluoride_mg_per_L,pH,land_use,season,depletion_rate_m_per_year,years_depleting
AQ0022,27.659527,85.224996,Kathmandu,deep_tube,125.32,21.45,1855.73,68.26,27.19,784.9,10.919,0.649,7.32,urban,wet,2.35,10
AQ0023,27.611512,85.337382,Kathmandu,deep_tube,100.47,21.31,1018.29,106.6209,9.55,463.3,6.26,0.513,7.32,urban,dry,0.49,3
AQ0024,27.716261,85.415785,Bhaktapur,dug,6.37,13.79,1601.16,72.7487,22.01,217.0,6.137,0.53,6.45,urban,dry,1.56,4
AQ0025,27.623764,85.229382,Lalitpur,shallow_tube,47.39,17.61,209.07,13.881,15.06,417.1,3.475,0.66,6.81,green,dry,2.43,2
AQ0026,27.633243,85.254202,Kathmandu,deep_tube,96.17,26.87,174.73,17.8222,9.8,221.2,1.263,0.076,6.92,peri-urban,wet,0.89,5
AQ0027,27.794879,85.446553,Lalitpur,shallow_tube,54.26,6.39,1133.17,47.5704,23.82,811.7,1.296,0.832,6.65,green,wet,1.14,6
AQ0028,27.765833,85.34227,Kathmandu,dug,6.44,6.41,357.0,11.3942,31.33,696.4,5.045,0.373,6.81,urban,dry,0.9,4
AQ0029,27.645729,85.367925,Lalitpur,shallow_tube,44.98,7.8,1211.87,27.9566,43.35,1377.3,4.633,0.313,7.07,agriculture,dry,0.36,5
AQ0030,27.724062,85.37602,Kathmandu,dug,2.54,17.4,572.25,20.3433,28.13,298.7,4.002,0.01,7.17,peri-urban,dry,1.31,2
AQ0031,27.724161,85.286853,Kathmandu,shallow_tube,47.28,0.5,1157.11,31.7931,36.4,559.8,8.001,0.746,7.38,urban,dry,0.79,5
AQ0032,27.633787,85.269648,Kathmandu,dug,5.79,2.85,38.45,1.0659,36.07,262.9,6.004,0.559,7.09,agriculture,dry,2.07,1
AQ0033,27.719456,85.446564,Kathmandu,deep_tube,196.12,10.5,336.46,28.8848,11.65,508.6,0.823,0.49,7.65,peri-urban,dry,1.17,9
AQ0034,27.747481,85.245571,Kathmandu,deep_tube,154.52,8.6,44.89,2.1396,20.98,334.5,9.812,1.438,7.9,urban,dry,1.54,10
AQ0035,27.656755,85.290771,Lalitpur,shallow_tube,19.02,19.48,170.78,13.9634,12.23,280.3,6.136,0.636,6.78,urban,dry,1.2,4
AQ0036,27.799451,85.424153,Kathmandu,deep_tube,257.71,13.23,1493.06,56.453,26.45,308.9,2.742,0.385,7.52,green,wet,1.92,12
AQ0037,27.622967,85.352655,Kathmandu,shallow_tube,39.01,2.52,207.9,18.817,11.05,731.6,8.424,0.331,8.42,urban,dry,1.21,14
AQ0038,27.62134,85.412682,Lalitpur,shallow_tube,32.37,2.0,469.35,12.1052,38.77,545.2,7.045,0.537,7.5,urban,wet,1.59,2
AQ0039,27.76332,85.309784,Kathmandu,shallow_tube,55.77,7.38,246.31,11.0576,22.28,683.3,2.143,0.033,7.77,peri-urban,dry,0.61,13
AQ0040,27.699085,85.385365,Kathmandu,deep_tube,199.69,21.09,204.59,5.5096,37.13,1071.4,5.392,0.309,6.1,urban,wet,1.63,13
AQ0041,27.707972,85.321589,Kathmandu,shallow_tube,40.41,15.44,1229.81,29.1384,42.21,374.0,5.319,1.048,6.45,urban,dry,2.31,8
AQ0042,27.701178,85.352864,Kathmandu,deep_tube,156.56,20.63,446.61,37.6434,11.86,1237.3,8.569,0.249,7.14,urban,wet,2.47,14
AQ0043,27.637264,85.409373,Kathmandu,shallow_tube,48.07,0.5,543.74,13.4422,40.45,231.0,11.31,0.032,5.81,urban,dry,2.32,11
AQ0044,27.606569,85.428187,Kathmandu,shallow_tube,55.58,6.34,166.36,5.9031,28.18,391.2,7.878,0.081,7.27,urban,dry,0.96,13
AQ0045,27.679464,85.306697,Lalitpur,shallow_tube,73.85,10.02,857.17,47.0144,18.23,460.5,7.873,1.322,7.19,urban,dry,0.53,8
AQ0046,27.772357,85.436529,Kathmandu,shallow_tube,23.34,33.74,149.66,4.3191,34.65,616.8,1.379,0.405,7.44,urban,dry,1.74,8
AQ0047,27.619888,85.260793,Lalitpur,deep_tube,128.34,21.3,129.05,2.8465,45.34,486.5,5.533,0.404,7.72,urban,wet,0.87,2
AQ0048,27.672612,85.208557,Lalitpur,shallow_tube,30.59,14.62,378.23,12.4174,30.46,395.3,5.667,1.318,7.24,urban,wet,1.84,9
AQ0049,27.651578,85.234839,Lalitpur,deep_tube,72.69,26.4,124.37,7.1754,17.33,1332.5,3.076,0.715,7.69,peri-urban,dry,1.62,9
AQ0050,27.698855,85.343324,Lalitpur,shallow_tube,33.72,29.92,245.55,30.4227,8.07,349.5,3.811,0.924,7.95,agriculture,dry,2.39,7
AQ0051,27.732734,85.434207,Lalitpur,dug,4.85,8.04,729.38,18.3764,39.69,391.7,4.656,0.05,7.0,peri-urban,dry,2.1,5
AQ0052,27.600468,85.441925,Kathmandu,dug,7.97,3.32,744.65,26.166,28.46,605.7,6.826,0.69,7.21,peri-urban,wet,2.29,12
AQ0053,27.644242,85.446917,Bhaktapur,dug,6.86,11.06,338.41,51.8425,6.53,209.1,3.58,1.085,7.16,agriculture,dry,2.16,2
AQ0054,27.704487,85.361137,Lalitpur,shallow_tube,27.16,18.13,965.01,41.5921,23.2,890.5,6.616,0.755,8.06,urban,wet,1.24,12
AQ0055,27.646592,85.2061,Bhaktapur,dug,6.16,9.86,162.18,7.0247,23.09,1588.9,1.456,0.01,6.32,agriculture,wet,1.92,14
AQ0056,27.600669,85.316828,Kathmandu,deep_tube,190.03,48.84,135.5,12.783,10.6,560.8,0.01,0.711,7.66,green,dry,2.29,2
AQ0057,27.633407,85.447792,Kathmandu,deep_tube,220.03,47.39,186.03,12.4666,14.92,558.2,1.884,0.469,6.61,urban,dry,1.97,14
AQ0058,27.799267,85.424359,Kathmandu,shallow_tube,8.0,4.7,291.76,6.7305,43.35,383.8,4.659,0.243,6.77,green,dry,0.31,11
AQ0059,27.744684,85.323969,Kathmandu,dug,4.96,2.12,137.08,4.3301,31.66,298.2,5.829,0.847,7.02,peri-urban,wet,2.05,8
AQ0060,27.649057,85.239335,Kathmandu,shallow_tube,44.77,11.31,275.48,52.6571,5.23,289.0,2.958,0.303,7.63,agriculture,dry,0.72,13
AQ0061,27.723385,85.445297,Lalitpur,shallow_tube,49.68,21.65,209.04,7.1207,29.36,377.8,2.419,0.691,7.4,peri-urban,wet,0.45,11
AQ0062,27.633276,85.392746,Lalitpur,shallow_tube,31.2,15.2,1041.48,130.9512,7.95,305.5,3.69,0.659,6.59,peri-urban,wet,2.38,3
AQ0063,27.690277,85.240906,Lalitpur,shallow_tube,56.83,29.73,274.38,11.4863,23.89,191.5,10.402,0.987,7.1,urban,dry,0.81,13
AQ0064,27.640072,85.417031,Lalitpur,shallow_tube,77.73,0.5,103.11,3.5721,28.87,544.4,2.357,1.266,7.95,green,dry,0.84,9
AQ0065,27.640105,85.322899,Kathmandu,shallow_tube,52.61,7.78,293.22,35.4986,8.26,304.9,0.01,1.039,6.65,peri-urban,dry,2.19,6
AQ0066,27.781564,85.381071,Lalitpur,dug,6.33,2.06,276.73,13.4528,20.57,415.3,1.159,0.439,7.74,agriculture,dry,1.01,6
AQ0067,27.713508,85.372366,Lalitpur,dug,8.8,16.36,414.02,9.3683,44.19,684.4,7.934,1.168,7.3,urban,dry,1.3,3
AQ0068,27.608151,85.241,Kathmandu,shallow_tube,65.98,21.86,774.88,29.6229,26.16,563.5,3.303,0.153,7.8,urban,dry,1.49,11
AQ0069,27.730065,85.249886,Lalitpur,dug,8.18,3.92,1236.91,60.1402,20.57,156.7,6.949,0.071,6.91,peri-urban,wet,1.6,6
AQ0070,27.67183,85.295962,Kathmandu,deep_tube,194.96,19.16,945.64,43.4215,21.78,83.6,5.472,0.615,6.78,urban,dry,1.6,7
AQ0071,27.671847,85.348238,Kathmandu,shallow_tube,20.58,11.08,234.77,28.2611,8.31,418.9,5.134,0.01,6.99,urban,wet,1.66,1
AQ0072,27.650506,85.289813,Kathmandu,shallow_tube,47.56,0.5,1503.89,34.2652,43.89,1034.7,11.88,0.255,7.51,urban,wet,0.7,11
AQ0073,27.663231,85.326809,Kathmandu,dug,7.83,8.98,2000.0,57.1283,35.01,777.7,4.644,0.55,8.16,urban,dry,2.21,6
AQ0074,27.651061,85.365408,Bhaktapur,shallow_tube,42.76,9.5,237.49,5.125,46.34,579.6,2.212,0.959,8.11,peri-urban,wet,1.07,2
AQ0075,27.799883,85.212053,Bhaktapur,shallow_tube,44.82,20.63,413.14,17.8181,23.19,816.6,0.159,0.93,7.52,peri-urban,dry,1.26,11
AQ0076,27.675134,85.274217,Lalitpur,shallow_tube,60.07,33.05,43.06,1.3522,31.84,110.0,8.381,0.785,6.68,urban,dry,1.97,9
AQ0077,27.675957,85.415833,Kathmandu,shallow_tube,19.16,4.37,576.18,14.6165,39.42,571.5,3.353,0.961,7.34,green,dry,0.84,11
AQ0078,27.676015,85.249289,Kathmandu,dug,6.78,2.86,361.38,12.4823,28.95,243.3,3.845,0.213,7.23,peri-urban,dry,2.19,7
AQ0079,27.705033,85.377262,Kathmandu,shallow_tube,60.96,14.56,203.84,4.2632,47.81,824.8,2.576,0.34,6.87,agriculture,dry,1.64,10
AQ0080,27.672155,85.426473,Lalitpur,shallow_tube,27.14,2.74,669.69,16.1649,41.43,284.5,4.931,0.635,7.75,urban,wet,1.48,6
AQ0081,27.604728,85.360493,Lalitpur,shallow_tube,31.64,2.09,299.44,26.88,11.14,247.0,11.675,0.751,6.93,urban,dry,1.57,7
AQ0082,27.754525,85.266224,Lalitpur,shallow_tube,14.69,0.5,1950.29,45.9607,42.43,292.6,3.393,1.471,7.64,peri-urban,dry,0.81,10
AQ0083,27.6666,85.367372,Bhaktapur,shallow_tube,65.09,19.43,162.55,3.3799,48.09,552.6,4.066,0.572,6.75,urban,dry,1.96,1
AQ0084,27.660171,85.445309,Kathmandu,shallow_tube,28.7,12.14,209.98,5.1905,40.46,478.3,4.879,0.348,6.61,urban,wet,1.14,2
AQ0085,27.787392,85.338451,Kathmandu,shallow_tube,72.34,3.67,638.05,12.8518,49.65,317.5,3.161,0.488,7.78,green,dry,2.23,14
AQ0086,27.744284,85.23532,Kathmandu,deep_tube,123.95,10.43,334.28,10.8244,30.88,122.7,1.673,0.427,7.67,peri-urban,wet,2.4,6
AQ0087,27.629275,85.291884,Kathmandu,dug,7.02,9.39,50.7,2.046,24.78,474.1,4.718,0.218,7.41,urban,dry,0.43,3
AQ0088,27.638356,85.252939,Kathmandu,shallow_tube,17.56,22.05,647.29,49.7936,13.0,701.9,4.282,0.372,6.83,peri-urban,dry,0.79,13
AQ0089,27.724779,85.33176,Kathmandu,dug,5.74,13.77,59.26,1.4031,42.24,677.7,5.932,0.449,7.19,urban,dry,0.87,10
AQ0090,27.736195,85.247424,Lalitpur,shallow_tube,46.24,22.29,151.07,4.4337,34.07,140.6,3.192,0.459,7.48,urban,dry,1.73,3
AQ0091,27.675178,85.298619,Kathmandu,shallow_tube,29.96,10.24,208.04,4.8563,42.84,1459.5,1.091,0.731,7.6,peri-urban,wet,1.65,12
AQ0092,27.690124,85.420615,Kathmandu,deep_tube,113.74,25.96,905.75,22.0398,41.1,92.9,8.232,0.446,7.8,urban,dry,1.21,5
AQ0093,27.732061,85.391093,Kathmandu,dug,7.99,0.82,190.86,18.243,10.46,887.5,4.956,0.362,7.66,peri-urban,wet,2.46,6
AQ0094,27.697203,85.430074,Kathmandu,shallow_tube,43.45,8.07,44.13,1.9624,22.49,294.3,0.859,0.586,8.22,agriculture,dry,0.33,5
AQ0095,27.657181,85.403987,Bhaktapur,deep_tube,139.97,20.37,264.47,7.0,37.78,595.4,7.258,0.786,6.87,urban,wet,2.1,3
AQ0096,27.630135,85.285596,Kathmandu,shallow_tube,49.9,31.86,360.79,14.7137,24.52,452.7,0.192,0.852,7.37,peri-urban,dry,0.91,3
AQ0097,27.680299,85.400018,Kathmandu,shallow_tube,50.8,32.46,173.29,5.7879,29.94,167.6,2.521,0.29,6.15,urban,dry,1.89,8
AQ0098,27.643442,85.234456,Lalitpur,dug,5.21,7.51,238.29,8.5241,27.95,289.7,6.821,0.616,6.87,urban,dry,1.62,3
AQ0099,27.653964,85.406262,Kathmandu,dug,5.66,4.12,554.25,19.6006,28.28,201.6,4.951,0.847,6.52,urban,wet,1.92,11
AQ0100,27.746723,85.274861,Kathmandu,shallow_tube,20.08,8.66,86.9,1.7704,49.08,543.8,4.443,0.78,7.3,urban,wet,2.02,3
AQ0101,27.651859,85.307414,Bhaktapur,deep_tube,180.82,11.03,286.38,33.195,8.63,393.5,9.171,0.388,7.43,urban,dry,1.64,12
AQ0102,27.679767,85.430656,Kathmandu,dug,7.77,1.24,52.51,1.2206,43.02,260.0,1.459,1.026,8.22,agriculture,wet,1.06,2
AQ0103,27.682219,85.286836,Bhaktapur,dug,6.49,7.96,186.35,4.9186,37.89,205.5,5.902,0.651,7.37,urban,dry,1.07,9
AQ0104,27.604407,85.380002,Kathmandu,dug,6.94,11.2,85.35,2.9018,29.41,461.8,4.144,0.829,6.98,peri-urban,wet,1.24,5
AQ0105,27.78914,85.412494,Lalitpur,shallow_tube,66.55,4.71,155.8,3.7735,41.29,271.3,2.717,0.332,6.94,peri-urban,dry,1.03,14
AQ0106,27.750822,85.204486,Kathmandu,shallow_tube,32.54,7.83,422.28,14.0249,30.11,234.8,4.226,1.148,6.97,urban,wet,1.12,7
AQ0107,27.764421,85.295105,Lalitpur,deep_tube,156.8,2.44,1027.99,30.6349,33.56,305.8,6.054,0.897,6.78,agriculture,dry,2.05,7
AQ0108,27.722695,85.290775,Bhaktapur,dug,11.09,11.45,146.74,3.5008,41.92,730.4,1.058,0.271,7.77,green,dry,2.47,13
AQ0109,27.796822,85.36698,Lalitpur,dug,5.63,14.95,235.94,8.2113,28.73,566.4,7.012,0.759,7.05,urban,dry,2.1,2
AQ0110,27.62215,85.389896,Bhaktapur,deep_tube,70.32,41.87,332.05,11.5921,28.64,304.1,6.002,0.976,7.12,urban,dry,1.93,2
AQ0111,27.749765,85.362787,Lalitpur,shallow_tube,38.45,13.09,401.7,11.3385,35.43,819.2,1.78,0.479,7.46,urban,wet,2.14,7
AQ0112,27.615416,85.285095,Bhaktapur,dug,4.81,5.57,188.61,4.1306,45.66,602.8,6.552,0.963,7.37,urban,wet,0.3,11
AQ0113,27.622198,85.311764,Kathmandu,deep_tube,30.0,20.19,128.44,18.6387,6.89,488.2,7.507,0.818,7.07,urban,wet,1.96,9
AQ0114,27.767892,85.44545,Lalitpur,shallow_tube,48.54,17.73,236.94,22.7588,10.41,372.2,5.292,0.956,6.92,urban,wet,0.46,9
AQ0115,27.659984,85.385798,Kathmandu,deep_tube,175.7,37.97,257.71,6.3233,40.76,420.5,1.299,0.654,7.78,green,dry,0.44,4
AQ0116,27.644045,85.322094,Lalitpur,shallow_tube,23.19,13.03,217.94,4.5723,47.66,944.6,1.593,0.297,7.39,peri-urban,dry,0.82,12
AQ0117,27.697533,85.363056,Bhaktapur,shallow_tube,40.65,17.91,254.13,11.9405,21.28,277.1,3.967,0.063,7.16,urban,wet,1.64,13
AQ0118,27.694858,85.347717,Kathmandu,deep_tube,120.9,30.6,225.59,9.87,22.86,282.3,3.281,1.038,7.24,peri-urban,dry,1.56,7
AQ0119,27.698709,85.375565,Bhaktapur,dug,4.58,0.75,254.79,6.8619,37.13,154.9,7.163,0.432,7.27,peri-urban,dry,0.87,7
AQ0120,27.608112,85.417899,Kathmandu,shallow_tube,48.82,28.69,2000.0,43.9421,45.51,146.5,0.656,1.513,6.67,peri-urban,dry,1.72,3
AQ0121,27.718732,85.202533,Lalitpur,deep_tube,207.19,15.79,153.47,13.4664,11.4,392.1,4.861,0.396,7.25,urban,wet,0.57,1
AQ0122,27.64321,85.316652,Lalitpur,dug,8.1,7.07,145.37,3.3206,43.78,171.7,5.673,1.213,7.43,urban,dry,0.52,11
AQ0123,27.71644,85.292793,Lalitpur,shallow_tube,25.2,27.06,247.24,5.4876,45.05,224.3,5.407,0.06,7.81,urban,dry,0.46,14
AQ0124,27.719198,85.225315,Lalitpur,shallow_tube,44.08,26.65,437.1,39.3407,11.11,373.5,1.764,0.01,6.47,agriculture,dry,0.99,13
AQ0125,27.691705,85.272311,Bhaktapur,dug,5.81,6.8,418.41,8.4903,49.28,158.8,3.248,0.715,6.61,urban,wet,1.49,6
AQ0126,27.649381,85.409637,Kathmandu,deep_tube,98.4,28.45,587.23,13.856,42.38,189.9,8.248,0.788,7.02,urban,dry,0.76,13
AQ0127,27.79877,85.420079,Lalitpur,shallow_tube,21.56,19.89,179.98,6.1143,29.44,465.8,7.986,0.741,7.0,urban,dry,0.57,1
AQ0128,27.736151,85.316696,Kathmandu,deep_tube,151.13,34.25,1314.43,70.6297,18.61,2000.0,3.06,1.028,7.29,urban,dry,1.1,1
AQ0129,27.773115,85.445185,Kathmandu,deep_tube,174.88,26.33,261.81,6.0287,43.43,805.1,1.693,0.864,5.73,agriculture,wet,1.68,7
AQ0130,27.603823,85.319211,Lalitpur,shallow_tube,28.41,21.93,185.93,10.5979,17.54,708.6,3.348,0.909,7.46,urban,dry,1.93,5
AQ0131,27.601133,85.434273,Lalitpur,deep_tube,170.95,40.9,160.33,9.102,17.62,530.4,0.01,1.306,7.54,peri-urban,dry,0.31,3
AQ0132,27.704515,85.274891,Kathmandu,shallow_tube,49.89,23.97,158.41,8.6618,18.29,252.1,0.59,0.554,7.55,peri-urban,dry,2.29,13
AQ0133,27.716651,85.410558,Kathmandu,dug,8.96,6.81,432.36,17.0036,25.43,456.2,3.934,0.01,8.1,peri-urban,dry,0.82,5
AQ0134,27.760792,85.338125,Kathmandu,dug,4.52,13.64,207.56,6.2275,33.33,274.7,6.411,0.277,7.76,urban,dry,0.52,1
AQ0135,27.625986,85.341246,Bhaktapur,shallow_tube,11.81,0.5,408.03,59.1079,6.9,622.9,4.87,0.475,6.9,peri-urban,wet,2.23,5
AQ0136,27.79321,85.390259,Bhaktapur,shallow_tube,30.74,5.01,340.22,16.0462,21.2,400.1,5.919,0.414,6.59,urban,wet,1.11,12
AQ0137,27.771791,85.246506,Kathmandu,shallow_tube,27.53,18.6,972.6,23.8201,40.83,599.0,6.307,0.56,8.18,urban,wet,1.57,5
AQ0138,27.657482,85.291946,Kathmandu,dug,2.51,5.0,122.59,4.5106,27.18,638.3,0.796,0.621,7.47,urban,wet,1.79,4
AQ0139,27.690984,85.266813,Kathmandu,dug,6.46,14.06,88.73,6.7329,13.18,128.9,5.477,0.86,6.59,urban,dry,1.56,11
AQ0140,27.732601,85.337096,Bhaktapur,shallow_tube,58.93,6.74,164.71,13.8937,11.85,478.3,2.849,0.368,8.4,green,wet,0.43,12
AQ0141,27.611569,85.439447,Bhaktapur,shallow_tube,40.31,8.87,167.13,11.0373,15.14,319.4,1.523,0.774,7.91,peri-urban,wet,0.62,5
AQ0142,27.705453,85.426605,Kathmandu,shallow_tube,58.65,6.43,212.51,5.8943,36.05,398.8,3.905,0.01,6.84,urban,dry,1.97,13
AQ0143,27.789814,85.440578,Lalitpur,deep_tube,166.9,58.25,73.9,1.6842,43.88,708.9,1.933,0.01,7.5,peri-urban,dry,1.75,9
AQ0144,27.639385,85.437857,Bhaktapur,shallow_tube,40.72,23.38,87.96,10.6125,8.29,441.0,6.921,0.619,7.49,urban,dry,2.45,7
AQ0145,27.678559,85.413555,Lalitpur,shallow_tube,36.39,0.5,775.09,18.1975,42.59,287.7,9.015,0.482,7.43,urban,wet,1.43,11
AQ0146,27.650764,85.261452,Kathmandu,deep_tube,149.57,42.87,227.49,25.047,9.08,143.8,1.366,0.01,8.01,peri-urban,dry,2.16,1
AQ0147,27.638319,85.42956,Kathmandu,shallow_tube,33.89,8.27,1787.96,57.4833,31.1,1055.5,4.598,0.703,7.66,urban,wet,2.02,10
AQ0148,27.777777,85.336126,Kathmandu,shallow_tube,51.19,0.5,1043.58,57.0705,18.29,374.7,8.789,1.064,7.57,urban,dry,1.08,4
AQ0149,27.630319,85.418971,Kathmandu,shallow_tube,32.44,15.91,30.0,4.0224,7.46,208.3,0.879,0.875,6.63,urban,dry,1.93,5
AQ0150,27.751814,85.352408,Bhaktapur,deep_tube,98.76,3.72,197.55,5.0252,39.31,198.0,8.008,0.01,7.27,urban,dry,1.68,6
AQ0151,27.653065,85.350388,Kathmandu,shallow_tube,34.24,11.73,345.55,7.355,46.98,551.2,3.331,0.961,7.16,peri-urban,dry,1.83,7
AQ0152,27.770094,85.286151,Kathmandu,dug,5.26,3.88,837.82,34.0721,24.59,129.4,7.575,0.524,7.35,urban,wet,2.05,1
AQ0153,27.794051,85.309415,Kathmandu,shallow_tube,42.9,15.94,165.59,4.4357,37.33,346.8,2.404,0.01,7.75,peri-urban,wet,0.59,10
AQ0154,27.761758,85.369288,Lalitpur,shallow_tube,40.1,29.59,254.4,5.8779,43.28,406.5,3.548,0.135,6.98,urban,dry,1.21,6
AQ0155,27.66681,85.383175,Kathmandu,dug,4.59,13.48,912.34,120.8981,7.55,553.4,1.77,1.138,7.92,peri-urban,dry,0.74,3
AQ0156,27.757054,85.350276,Bhaktapur,shallow_tube,39.59,6.68,128.82,2.6261,49.05,179.3,3.983,0.294,7.22,urban,wet,1.63,2
AQ0157,27.696608,85.267133,Kathmandu,shallow_tube,41.31,17.59,234.93,7.3515,31.96,983.0,4.455,1.099,7.71,urban,dry,1.64,9
AQ0158,27.705151,85.262381,Kathmandu,dug,5.73,0.2,1086.91,149.4651,7.27,174.5,6.479,1.012,7.93,green,wet,1.93,6
AQ0159,27.795401,85.225473,Kathmandu,shallow_tube,43.38,1.77,202.08,8.2321,24.55,1142.8,5.04,0.419,7.33,peri-urban,wet,0.74,7
AQ0160,27.610004,85.42788,Kathmandu,shallow_tube,36.31,23.13,89.05,2.8033,31.77,164.8,0.303,0.555,6.0,agriculture,dry,0.92,8
AQ0161,27.640056,85.354196,Lalitpur,shallow_tube,28.55,15.76,598.01,20.4622,29.22,249.6,0.01,1.103,7.52,agriculture,dry,1.3,13
AQ0162,27.774745,85.359489,Lalitpur,shallow_tube,22.7,8.69,26.37,0.6538,40.33,184.3,5.383,0.413,7.18,urban,wet,0.76,1
AQ0163,27.752888,85.302418,Lalitpur,shallow_tube,35.82,13.56,117.78,2.6363,44.68,563.3,5.543,0.178,6.79,urban,dry,1.43,7
AQ0164,27.650976,85.385633,Kathmandu,deep_tube,120.44,20.54,909.65,41.7108,21.81,233.0,6.319,0.814,6.12,urban,wet,2.05,7
AQ0165,27.767582,85.414691,Lalitpur,shallow_tube,23.45,11.54,131.23,8.5594,15.33,427.8,5.577,0.501,7.41,urban,wet,1.08,12
AQ0166,27.716429,85.229604,Kathmandu,shallow_tube,32.37,11.39,147.36,4.7942,30.74,390.7,2.334,0.767,7.6,peri-urban,dry,1.21,10
AQ0167,27.634339,85.325028,Kathmandu,deep_tube,182.93,55.81,377.52,18.713,20.17,518.8,3.446,0.585,7.29,urban,dry,1.42,5
AQ0168,27.755298,85.352834,Bhaktapur,shallow_tube,54.06,14.35,413.83,10.9164,37.91,751.5,8.539,0.503,7.06,urban,dry,0.93,7
AQ0169,27.690259,85.245861,Bhaktapur,deep_tube,102.0,21.88,699.53,23.8104,29.38,278.0,7.238,0.01,7.51,urban,dry,0.78,6
AQ0170,27.745847,85.352102,Lalitpur,shallow_tube,33.21,13.24,539.06,12.7102,42.41,316.6,3.578,0.695,6.91,peri-urban,dry,1.24,10
AQ0171,27.756392,85.387937,Lalitpur,shallow_tube,46.15,1.03,482.86,35.0563,13.77,477.9,5.73,1.328,7.74,agriculture,wet,2.26,5
AQ0172,27.708329,85.389567,Kathmandu,shallow_tube,27.92,31.03,99.29,2.2685,43.77,508.2,2.983,1.441,7.91,peri-urban,dry,0.59,3
AQ0173,27.764366,85.364878,Lalitpur,shallow_tube,23.62,9.79,811.06,47.3525,17.13,572.4,4.352,1.02,6.58,urban,wet,2.09,4
