aquifer_id,lat,lon,well_type,land_use,well_depth_m,water_table_depth_m,tds_mg_per_L,nitrate_mg_per_L,pH,transmissivity_m2_per_day,hydraulic_conductivity_m_per_day
AQ_0044,27.682963900467534,85.26835176798268,deep_tube,peri‑urban,150.26,15.33,291.9,6.869,6.67,223.09,4.6542
AQ_0045,27.721234926890176,85.25716070137587,dug,urban,11.18,10.18,224.1,7.446,7.98,274.24,9.6538
AQ_0046,27.770436300063707,85.33797670969362,dug,peri‑urban,11.08,10.08,195.8,4.337,7.52,747.22,20.3695
AQ_0047,27.642592832301784,85.2340928688967,shallow_tube,urban,14.04,13.04,743.8,6.33,7.95,265.27,11.6119
AQ_0048,27.724417340045576,85.41559092718668,dug,urban,7.96,6.96,328.5,7.369,7.76,78.93,4.9932
AQ_0049,27.615172665621735,85.23221993047767,deep_tube,peri‑urban,168.33,8.42,279.2,1.822,7.17,536.77,15.3188
AQ_0050,27.634463974240326,85.24807225470217,deep_tube,agriculture,109.23,11.09,146.6,4.425,7.23,40.25,1.1161
AQ_0051,27.60786242796822,85.39985259972727,dug,peri‑urban,5.9,4.9,369.8,8.368,6.83,397.45,27.5609
AQ_0052,27.674094420558276,85.32113074629775,shallow_tube,peri‑urban,17.27,16.27,1265.1,4.436,7.63,113.42,2.5047
AQ_0053,27.702335488423135,85.33302837131633,shallow_tube,peri‑urban,38.08,8.31,129.9,6.957,7.11,240.62,12.3437
AQ_0054,27.64228960139931,85.28187433804449,dug,urban,13.06,12.06,397.8,9.874,8.39,562.89,14.6036
AQ_0055,27.686331909245936,85.23189507569889,shallow_tube,green,26.87,5.32,764.9,12.509,7.21,276.82,17.6595
AQ_0056,27.62035649452408,85.23821478479609,deep_tube,urban,117.47,11.59,264.2,2.408,7.22,128.6,5.4798
AQ_0057,27.79647572338172,85.22800972554202,shallow_tube,urban,45.85,14.41,472.3,7.11,7.45,114.37,2.4426
AQ_0058,27.71135257860279,85.34290317236747,deep_tube,agriculture,196.65,9.67,269.4,1.994,7.34,27.9,1.7539
AQ_0059,27.622967364947844,85.3526550106104,shallow_tube,peri‑urban,49.58,3.37,381.9,4.03,7.13,180.46,16.3329
AQ_0060,27.612674994094554,85.44749005809749,shallow_tube,urban,55.09,10.96,718.0,5.412,6.84,1752.05,74.4511
AQ_0061,27.6697736533086,85.43238228606197,shallow_tube,peri‑urban,45.57,10.77,425.0,7.405,7.14,273.81,6.7132
AQ_0062,27.64032546400955,85.24091398571643,shallow_tube,peri‑urban,45.92,12.05,490.0,13.02,7.06,533.55,12.7806
AQ_0063,27.687826981714046,85.29423610735623,dug,urban,2.39,1.39,405.2,15.688,7.61,42.63,0.931
AQ_0064,27.724847599182798,85.22922451017709,dug,green,8.5,7.5,216.8,7.769,7.52,1537.66,34.0
AQ_0065,27.757719442244905,85.23791871993319,deep_tube,agriculture,95.43,9.28,1150.9,6.206,7.03,485.3,11.5668
AQ_0066,27.622126347391042,85.41161307293363,shallow_tube,urban,35.95,8.15,293.1,10.889,7.63,739.5,20.4125
AQ_0067,27.708544888669522,85.26294976472674,deep_tube,green,97.08,11.41,450.7,7.507,6.75,38.93,0.8173
AQ_0068,27.630670280623217,85.3465574580042,dug,urban,15.34,14.34,431.8,10.661,7.31,356.08,30.0128
AQ_0069,27.715257672033363,85.35167876159572,dug,peri‑urban,12.78,11.42,200.1,9.547,8.47,380.17,16.5615
AQ_0070,27.61095232776441,85.28379931041148,shallow_tube,urban,24.82,3.42,711.7,8.686,7.03,950.21,62.8974
AQ_0071,27.69048790322654,85.23521425509496,shallow_tube,peri‑urban,39.9,5.77,702.4,6.34,8.12,615.67,110.1527
AQ_0072,27.732707474403345,85.24450899171744,shallow_tube,agriculture,28.01,13.85,400.2,8.452,7.21,245.22,16.9753
AQ_0073,27.779610857888144,85.2512849101205,shallow_tube,urban,78.55,7.25,1057.3,1.23,6.61,294.25,22.3139
AQ_0074,27.772357124202703,85.4365288655334,shallow_tube,peri‑urban,18.89,9.56,183.8,10.384,7.44,134.74,3.8883
AQ_0075,27.605419198500698,85.25549304048324,shallow_tube,urban,50.83,7.1,277.1,10.923,7.08,185.23,4.9392
AQ_0076,27.771139293621257,85.40755496614175,deep_tube,peri‑urban,232.32,7.95,252.5,2.188,6.37,1025.78,22.7092
AQ_0077,27.76348871234769,85.28545433792448,shallow_tube,peri‑urban,29.43,5.14,134.5,9.939,7.82,44.06,1.7892
AQ_0078,27.658893151908384,85.43711332674054,dug,urban,6.37,5.37,389.6,16.782,7.02,238.87,13.9766
AQ_0079,27.708326842932173,85.35836955495654,shallow_tube,peri‑urban,30.66,12.07,162.3,6.664,7.3,114.29,6.5941
AQ_0080,27.71083560050316,85.36285509708797,shallow_tube,urban,32.96,18.69,1243.7,13.037,6.28,89.82,3.1681
AQ_0081,27.60939319335501,85.24157084218902,dug,peri‑urban,6.96,5.96,146.6,8.69,6.74,84.78,2.2696
AQ_0082,27.659424343124638,85.34160116007423,shallow_tube,green,71.22,12.87,427.6,6.612,6.91,275.63,10.083
AQ_0083,27.719368569783377,85.28356097270424,deep_tube,urban,132.39,16.7,453.7,3.995,8.19,240.72,9.7986
AQ_0084,27.649280406647822,85.40477557941855,shallow_tube,peri‑urban,49.49,21.81,618.2,2.094,6.54,208.61,7.0991
AQ_0085,27.774589167175282,85.38305622160239,shallow_tube,urban,48.4,22.57,717.1,7.626,6.44,238.68,4.8272
AQ_0086,27.788811867937323,85.20985670284213,deep_tube,peri‑urban,171.48,16.45,483.8,1.17,6.66,580.55,12.4588
AQ_0087,27.794211649033073,85.43606662227836,shallow_tube,peri‑urban,56.94,14.44,288.8,11.804,7.25,172.71,11.2515
AQ_0088,27.624113377155457,85.21923830040731,deep_tube,urban,97.88,23.95,333.2,5.405,7.41,53.39,1.3157
AQ_0089,27.663750500586413,85.35647284410925,dug,urban,8.8,7.8,423.7,16.886,6.94,771.96,29.0273
AQ_0090,27.725501092643675,85.4184192785466,shallow_tube,urban,14.77,2.69,217.2,9.706,6.7,107.85,6.9525
AQ_0091,27.608418637927272,85.20446848368336,shallow_tube,peri‑urban,39.48,16.64,1184.2,3.096,7.12,129.15,2.8984
AQ_0092,27.788946404458283,85.31685037781247,deep_tube,urban,93.86,17.68,449.4,6.477,7.34,1782.37,115.888
AQ_0093,27.635305606401104,85.25512155226755,shallow_tube,urban,48.33,10.64,282.7,9.341,7.91,158.36,4.36
AQ_0094,27.63077918126797,85.40395828124765,deep_tube,urban,114.74,10.07,2083.1,7.814,6.78,285.21,6.4112
AQ_0095,27.653120008517742,85.2323787303207,dug,urban,8.86,7.86,634.3,13.508,6.51,139.31,3.7097
AQ_0096,27.699175147015755,85.22026155397691,shallow_tube,urban,50.42,7.57,50.0,9.475,7.86,101.09,3.319
AQ_0097,27.653405654033886,85.4196574965888,shallow_tube,green,48.86,22.76,710.4,10.009,7.7,851.34,21.901
AQ_0098,27.631721021058617,85.42021768979974,shallow_tube,agriculture,37.49,16.03,930.8,3.353,7.41,344.4,12.3723
AQ_0099,27.60127717434337,85.27175953329373,shallow_tube,urban,42.87,15.33,154.4,10.409,7.95,296.59,30.2212
AQ_0100,27.752205580500405,85.33531664466904,deep_tube,agriculture,145.24,16.95,612.2,5.56,6.98,291.99,15.7465
AQ_0101,27.741634417729056,85.2168376503672,deep_tube,green,59.5,21.76,285.8,5.383,7.38,164.16,26.8825
AQ_0102,27.6044247103058,85.28090255478739,deep_tube,urban,228.28,14.54,271.2,10.643,6.48,43.05,3.4823
AQ_0103,27.75896190974999,85.37342055644538,shallow_tube,urban,56.83,24.17,342.3,6.277,8.12,106.21,4.6395
AQ_0104,27.654843040469736,85.44599441198996,shallow_tube,urban,53.47,13.55,243.2,3.148,6.57,793.52,18.0771
AQ_0105,27.69464198133831,85.44204835697869,shallow_tube,green,44.05,13.39,656.5,11.392,7.52,723.99,66.3848
AQ_0106,27.60650523589825,85.43021196195393,shallow_tube,peri‑urban,58.74,18.44,194.4,5.477,6.86,1055.97,75.2993
AQ_0107,27.698318909348288,85.21605223426879,shallow_tube,urban,16.13,15.13,256.5,10.263,6.97,35.96,1.1237
AQ_0108,27.65833251574186,85.37374547153163,deep_tube,green,168.61,18.35,393.3,3.287,7.07,181.06,3.6652
AQ_0109,27.628499108580304,85.32472203836284,shallow_tube,peri‑urban,62.55,21.14,342.7,6.713,6.76,257.65,12.3998
AQ_0110,27.606640621758274,85.21964462428876,dug,urban,5.0,4.0,1407.9,11.926,7.9,523.83,81.576
AQ_0111,27.78724244924874,85.21299282091287,deep_tube,peri‑urban,240.6,17.51,526.8,7.044,6.91,597.45,14.3386
AQ_0112,27.616022969276937,85.42370416401513,shallow_tube,peri‑urban,59.76,16.38,1709.8,5.564,7.02,294.45,38.1614
AQ_0113,27.64942064680203,85.2398861700283,dug,peri‑urban,7.04,6.04,576.8,6.572,8.5,231.4,6.1932
AQ_0114,27.64569094826626,85.44908347901419,shallow_tube,agriculture,40.57,15.84,614.6,2.293,7.75,228.81,6.0655
AQ_0115,27.748541304239996,85.30637333361202,dug,green,4.32,3.32,468.1,10.334,7.15,1039.11,23.4542
AQ_0116,27.780140372802254,85.30543023171836,dug,urban,9.96,3.97,1124.4,13.464,7.45,307.97,23.5347
AQ_0117,27.647508664984777,85.4428487735104,shallow_tube,peri‑urban,44.86,12.96,126.0,9.202,7.59,25.6,1.2096
AQ_0118,27.718590170286987,85.24088096814626,shallow_tube,urban,45.61,14.39,703.9,2.889,6.97,329.86,6.7814
AQ_0119,27.69075790827673,85.25901261583662,deep_tube,urban,45.24,16.78,333.6,8.701,7.52,82.09,2.2305
AQ_0120,27.633408381580193,85.24190480407208,shallow_tube,peri‑urban,35.18,29.54,522.6,9.217,7.05,338.74,33.7515
AQ_0121,27.6539499223034,85.21427171402233,shallow_tube,peri‑urban,50.91,15.36,668.0,6.339,6.91,251.87,21.5722
AQ_0122,27.79732602459177,85.44127967410901,shallow_tube,green,53.74,17.43,804.4,0.1,6.76,345.22,54.375
AQ_0123,27.66158598831824,85.37617019068416,shallow_tube,peri‑urban,49.19,7.63,258.5,15.083,7.47,120.03,2.81
AQ_0124,27.788922843894806,85.37081200707242,shallow_tube,urban,76.05,14.6,460.5,8.304,7.3,358.11,10.1038
AQ_0125,27.643135030479545,85.36472136755816,shallow_tube,urban,64.5,6.98,494.4,7.975,7.17,325.21,7.3604
AQ_0126,27.756477096811654,85.34175406524668,shallow_tube,peri‑urban,48.47,17.49,123.0,5.537,7.5,438.08,10.7106
AQ_0127,27.687116662962588,85.40445855404376,dug,urban,8.36,7.36,163.5,5.489,6.42,196.1,8.997
AQ_0128,27.64545392545263,85.21829898094211,deep_tube,green,232.1,22.07,247.1,11.757,7.69,192.79,6.7982
AQ_0129,27.695836375525946,85.20641051645161,dug,urban,4.53,3.53,1100.2,5.235,7.54,396.17,10.6167
AQ_0130,27.79110473919099,85.2045581456691,shallow_tube,green,51.38,16.97,430.3,5.114,7.11,389.13,40.6875
AQ_0131,27.697174351837266,85.26419414193013,deep_tube,agriculture,100.57,7.27,453.7,9.176,7.66,71.17,1.9118
AQ_0132,27.654524800146707,85.30338727538134,shallow_tube,urban,37.99,13.89,203.0,9.279,6.9,322.88,10.5762
AQ_0133,27.651312556740272,85.4407317188094,deep_tube,peri‑urban,219.87,14.47,266.7,5.191,7.44,279.45,8.7131
AQ_0134,27.76383777188536,85.4210516158371,shallow_tube,green,29.47,10.36,149.9,14.448,7.06,456.03,29.1223
AQ_0135,27.756105103048775,85.26870150888703,shallow_tube,urban,35.58,23.73,249.6,8.956,8.31,92.87,7.3938
AQ_0136,27.747374748988836,85.41569926938581,deep_tube,urban,140.74,14.09,412.5,4.559,7.68,1465.39,94.9236
AQ_0137,27.678181199181104,85.34861908379655,shallow_tube,green,44.72,14.99,534.7,4.705,8.04,160.55,4.44
AQ_0138,27.798251198740438,85.23209857236354,dug,urban,8.91,7.91,128.4,7.515,6.65,141.52,6.747
AQ_0139,27.61388476854922,85.32976494772707,dug,peri‑urban,8.7,4.11,504.3,10.165,6.61,93.19,2.6531
AQ_0140,27.798827872244235,85.36545979746235,shallow_tube,peri‑urban,65.09,17.93,244.2,7.644,6.7,413.64,14.2084
AQ_0141,27.619335289929346,85.31259273406455,shallow_tube,urban,28.97,23.65,858.7,11.463,6.93,81.11,6.8393
AQ_0142,27.798496700431677,85.43175024198108,shallow_tube,urban,58.2,15.99,2028.4,6.626,6.94,333.89,7.9171
AQ_0143,27.756405617534078,85.37718617443575,shallow_tube,green,28.21,5.68,110.6,8.509,8.28,101.12,3.5851
AQ_0144,27.783878394642883,85.32424087072646,deep_tube,urban,154.09,14.31,761.1,4.129,7.33,323.38,7.9745
AQ_0145,27.66093582781961,85.22022982076281,shallow_tube,urban,22.18,12.53,193.6,13.817,7.74,365.48,33.336
AQ_0146,27.772402896454526,85.43068929762835,dug,peri‑urban,15.39,12.9,253.7,9.102,6.67,195.84,9.0922
AQ_0147,27.6136344618771,85.20645297673738,shallow_tube,urban,47.62,15.38,113.3,5.591,6.73,222.78,6.5839
AQ_0148,27.64320763650192,85.35489698872446,shallow_tube,peri‑urban,25.5,17.92,247.0,9.786,7.27,190.91,3.8751
AQ_0149,27.647836020843187,85.2355623421718,shallow_tube,urban,34.49,10.05,494.3,3.428,7.28,250.61,6.0201
AQ_0150,27.723043887646202,85.27656340519665,dug,agriculture,9.5,8.5,192.6,8.806,6.52,208.86,9.6921
AQ_0151,27.682825950505787,85.40688447389172,deep_tube,peri‑urban,193.93,20.34,391.7,4.477,7.0,246.98,14.7967
AQ_0152,27.752057964624427,85.23427742643226,deep_tube,peri‑urban,76.05,16.28,395.7,6.738,7.26,114.78,4.5105
AQ_0153,27.768871416547924,85.22452064519607,dug,urban,4.42,3.42,906.2,6.671,6.76,40.46,1.0034
AQ_0154,27.778416937788048,85.43883367162599,shallow_tube,agriculture,29.96,22.28,261.8,11.751,7.16,522.46,15.5151
AQ_0155,27.731870784441156,85.42377943517664,shallow_tube,agriculture,59.53,25.93,409.1,3.491,7.24,991.45,27.8416
AQ_0156,27.608334580120477,85.22119800401146,deep_tube,urban,131.73,16.29,155.8,2.085,7.8,147.81,4.2522
AQ_0157,27.637039113573493,85.24352733383353,shallow_tube,urban,44.24,10.05,231.4,7.744,7.7,136.46,4.1214
AQ_0158,27.67638792793058,85.2514218155489,shallow_tube,agriculture,44.22,8.52,626.8,11.325,6.88,525.18,10.6963
AQ_0159,27.720376317927265,85.34560566455181,shallow_tube,peri‑urban,51.19,19.15,220.0,7.769,6.68,51.85,2.093
AQ_0160,27.722587916498906,85.43576895943617,dug,green,6.55,5.55,463.5,7.735,7.63,156.8,3.5831
AQ_0161,27.769302867738055,85.42973163340989,deep_tube,green,191.88,9.3,935.5,4.58,7.64,449.9,13.0302
AQ_0162,27.635485753893942,85.33625672972424,deep_tube,agriculture,169.98,10.44,276.3,6.759,7.82,254.29,6.6961
AQ_0163,27.70844744109837,85.3475869226147,dug,peri‑urban,2.3,1.3,1421.4,11.237,7.84,428.38,35.1037
AQ_0164,27.69231149488396,85.20233290495678,shallow_tube,green,52.43,8.51,985.4,4.752,8.03,342.82,10.4775
AQ_0165,27.637604946923084,85.28884614217144,deep_tube,agriculture,163.9,25.18,145.0,1.681,6.97,129.7,2.9178
AQ_0166,27.79926686752545,85.29207738262672,deep_tube,urban,236.35,12.2,468.1,7.798,6.49,61.12,1.6836
AQ_0167,27.60064365272086,85.35489733436496,shallow_tube,urban,57.5,10.99,454.1,4.898,6.92,289.77,9.3177
AQ_0168,27.712296917591907,85.34016502360404,deep_tube,agriculture,231.55,21.7,258.3,7.484,7.2,714.36,84.3638
AQ_0169,27.611710185848796,85.28355957967402,shallow_tube,agriculture,50.45,21.69,425.5,11.634,6.98,123.05,5.0163
AQ_0170,27.617720085935925,85.25515298817781,shallow_tube,urban,62.7,19.42,195.3,13.743,7.03,308.21,13.1458
AQ_0171,27.767960457127124,85.29595823798326,shallow_tube,urban,68.27,25.8,284.1,3.314,6.94,463.41,16.3671
AQ_0172,27.659745114717754,85.43516981127884,dug,urban,6.6,3.84,573.1,8.108,7.19,1032.01,41.8524
AQ_0173,27.74590164573048,85.39137822474778,shallow_tube,agriculture,45.32,7.31,527.5,6.564,7.15,212.41,12.661
AQ_0174,27.6493957598144,85.42656364513026,deep_tube,urban,107.99,8.54,323.4,13.588,7.19,137.51,21.1143
AQ_0175,27.612530640691073,85.42660936333611,shallow_tube,urban,41.52,7.08,116.5,6.528,7.32,268.09,8.875
AQ_0176,27.78736449240662,85.2130644698215,deep_tube,peri‑urban,71.87,11.3,697.5,1.237,7.35,84.45,3.2636
AQ_0177,27.79440106592631,85.35213181817412,deep_tube,urban,109.58,12.79,296.7,3.374,7.52,174.48,5.7669
AQ_0178,27.704678182274876,85.2286922179673,deep_tube,urban,171.44,19.85,452.6,3.899,6.79,267.84,10.4527
AQ_0179,27.69693925742601,85.24144363504082,deep_tube,urban,127.58,29.07,1380.7,1.897,6.84,265.2,9.4502
AQ_0180,27.761280723446568,85.31480996939925,dug,urban,6.06,5.06,285.3,8.521,7.36,204.3,4.5826
AQ_0181,27.774115685009203,85.25969905284539,shallow_tube,urban,44.76,14.78,383.3,7.339,7.11,2000.0,205.2057
AQ_0182,27.731356020944858,85.40552579015007,shallow_tube,peri‑urban,59.64,11.02,111.0,9.566,8.14,593.18,14.501
AQ_0183,27.67919409453249,85.42877251710176,shallow_tube,peri‑urban,21.71,15.82,795.7,8.553,7.03,181.01,13.6198
AQ_0184,27.778797942001574,85.36357313808125,shallow_tube,peri‑urban,37.01,6.86,239.0,10.023,7.21,773.74,15.9466
AQ_0185,27.68355219585502,85.44602757975913,dug,green,11.45,10.45,174.0,4.297,7.79,1984.48,53.1022
AQ_0186,27.778051610603562,85.21985164616076,shallow_tube,peri‑urban,27.92,19.18,483.5,8.617,6.7,622.26,23.7482
AQ_0187,27.764327379542095,85.31481629929331,shallow_tube,peri‑urban,38.63,0.5,282.2,8.847,7.62,387.16,40.6314
AQ_0188,27.64797482255119,85.23549299744025,shallow_tube,urban,30.06,0.79,682.6,13.638,7.15,666.18,13.5791
AQ_0189,27.72682842765915,85.23156618539113,shallow_tube,urban,22.31,21.31,288.9,6.478,7.0,380.27,8.9125
AQ_0190,27.655855217690885,85.36072047751468,shallow_tube,agriculture,41.9,28.57,198.6,3.133,7.71,87.19,1.8463
AQ_0191,27.77424089645261,85.39151619413383,shallow_tube,urban,49.52,22.77,532.9,7.63,6.72,281.9,11.2234
AQ_0192,27.692071654240387,85.41614090238068,shallow_tube,urban,8.0,7.0,275.0,13.018,7.55,176.46,9.7222
AQ_0193,27.782154032328783,85.3884904758992,shallow_tube,urban,53.33,11.31,634.6,4.403,7.38,1087.9,116.4274
AQ_0194,27.64837876565177,85.20310100906933,dug,urban,2.34,1.34,129.9,12.553,7.41,513.25,16.1935
AQ_0195,27.778460499627933,85.24633254488218,deep_tube,peri‑urban,144.78,13.82,420.1,8.486,6.74,302.52,32.7988
AQ_0196,27.781925363887318,85.36730006573453,deep_tube,peri‑urban,182.66,33.81,112.7,2.936,7.94,188.64,5.8792
AQ_0197,27.778504657990972,85.3108450035948,shallow_tube,peri‑urban,64.18,24.2,1260.7,8.414,6.72,256.11,11.483
AQ_0198,27.697533413724255,85.36305606488636,dug,urban,8.37,7.37,412.4,13.61,6.83,86.96,3.3112
AQ_0199,27.60912974910048,85.23500602438833,shallow_tube,peri‑urban,36.7,0.53,548.9,2.683,7.24,77.9,14.8443
AQ_0200,27.601532806529846,85.25476720227547,shallow_tube,urban,56.27,10.96,559.8,14.66,7.12,427.75,47.9582
AQ_0201,27.723413303223563,85.22845959836916,shallow_tube,urban,41.55,0.5,394.8,16.704,7.0,148.29,6.5164
AQ_0202,27.684365635707767,85.30275526881638,shallow_tube,green,44.01,18.56,132.2,11.804,7.27,152.88,4.2589
AQ_0203,27.622897527613183,85.29595972076125,shallow_tube,urban,8.0,7.0,345.0,6.149,7.09,148.63,3.1371
AQ_0204,27.733714529344585,85.36966748916815,dug,peri‑urban,11.53,2.86,462.3,11.645,6.89,333.84,7.3194
AQ_0205,27.613288768871158,85.33349186813695,shallow_tube,urban,14.54,10.48,2500.0,3.762,7.28,109.87,5.3747
AQ_0206,27.745834697509892,85.36307291214798,deep_tube,peri‑urban,173.55,20.92,1450.4,2.764,6.73,104.15,2.5712
AQ_0207,27.689283903280316,85.39959508512959,shallow_tube,urban,44.33,16.82,364.1,9.027,6.28,638.08,19.9098
AQ_0208,27.741117172528767,85.37210125462303,dug,urban,4.73,3.73,184.5,10.535,7.86,763.57,37.5641
AQ_0209,27.614342377769532,85.3024072237238,shallow_tube,urban,56.65,6.72,127.9,14.847,8.15,172.74,15.2531
AQ_0210,27.697117939931882,85.20688417996737,deep_tube,urban,177.31,15.04,294.7,4.671,7.16,185.95,15.24
AQ_0211,27.604670419265638,85.38905340348755,shallow_tube,peri‑urban,12.94,11.94,374.7,10.129,7.79,336.02,6.8185
AQ_0212,27.657681087563752,85.4402838713519,dug,peri‑urban,3.38,2.38,579.3,0.1,8.07,1489.95,37.9262
AQ_0213,27.766729992387518,85.31011033757811,shallow_tube,urban,24.05,8.89,165.4,10.026,7.68,58.07,5.1556
AQ_0214,27.68880874984044,85.35655858035527,shallow_tube,urban,8.0,7.0,864.5,14.985,6.97,229.68,8.7003
AQ_0215,27.708604916791533,85.2569374340258,shallow_tube,peri‑urban,43.99,27.38,310.5,9.811,7.51,186.0,3.9174
AQ_0216,27.629759193881025,85.31566890126635,dug,urban,7.96,6.96,478.3,11.443,7.52,139.94,6.2491
AQ_0217,27.70225509244015,85.3230813700003,dug,green,11.17,10.17,384.9,9.994,7.41,824.68,17.1729
AQ_0218,27.64009490310568,85.22731605257741,shallow_tube,urban,37.08,22.94,606.0,0.1,8.18,206.09,5.4926
AQ_0219,27.738506486307422,85.23360878235204,shallow_tube,agriculture,25.43,5.34,257.9,8.641,6.93,496.09,87.8937
AQ_0220,27.747573903712308,85.40853614925017,shallow_tube,agriculture,30.38,18.02,700.5,10.556,7.49,358.23,10.9847
AQ_0221,27.617720942793937,85.32190695241681,shallow_tube,green,37.55,9.79,249.3,6.311,7.25,224.45,4.7108
